Police arrest 15 after violent protest outside UK refugee hotel	﻿Polizeiverhaftung 15 nach gewaltsamen Protesten außerhalb des britischen Flüchtlingshotels	yes
The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained "following violent disorder." Merseyside police commissioner Emily Spurrell told Radio City, "It was incredibly dangerous and there were a couple of injuries amongst the police officers."	Die Polizei sagte, dass ein Polizist und zwei Zivilisten während der Störung am Freitagabend in Knowsley gewaltsam verletzt wurden. Die Polizei sagte, dass einige Demonstranten Gegenstände warfen und einen Polizeitransporter in Brand setzten. Die verhafteten Personen, die im Alter von 13 bis 54 Jahren im Alter von 13 bis 54 Jahren waren, wurden "nach gewaltsamer Störung" verhaftet. "Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizisten".	yes
The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media. George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community. "The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety," he said. "Those demonstrating against refugees at this protest tonight do not represent this community." The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.	Das Home Office nutzt das Hotel seit letztem Jahr als vorübergehende Unterbringung von Asylbewerbern. George Howarth, der Knowsley im britischen Parlament vertritt, sagte, dass die Gewalt am Freitagabend nicht die Gemeinschaft widerspiegelt. "Die Menschen von Knowsley sind keine Bigots und begrüßen Menschen, die von einigen der gefährlichsten Orte der Welt auf der Suche nach einem Ort der Sicherheit entkommen", sagte er. "Die Proteste gegen Flüchtlinge bei diesem Protest heute Abend stellen diese Gemeinschaft nicht dar". Der Protest fand inmitten erhöhter Spannungen statt, da immer mehr Flüchtlinge und Migranten den Kanal in kleinen Booten überqueren.	yes
More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to "stop the boats" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.	Das System zur Prüfung von Asylanträgen hat sich aufgrund politischer Turbulenzen und bürokratischer Verzögerungen verlangsamt und viele Asylbewerber in Hotels oder anderen vorübergehenden Unterkünften gefangen gehalten. Die Channel-Überquerungen sind ein politisches Thema geworden. Die konservative Regierung verspricht, die Schiffe zu stoppen und einen Plan zu verfolgen, solche Asylbewerber nach Ruanda zu schicken. Die Gegner haben der Regierung beschuldigt, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu vertreiben.	no
President's Cup: Candystripes defeat Rovers in season opener at Brandywell	President's Cup: Candystripes besiegen Rovers in Saisoneröffnung bei Brandywell	yes
Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell	Derry Mittelfeldspieler Adam Reilly schließt Lee Grace im Brandywell	yes
Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers. The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy. The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser. Derry travel to St. Patrick's Athletic for the league opener next Friday. Patching's side-footed volley nudged Derry in front after 23 minutes - the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.	Derry City gewann im President's Cup den Sieg, als sie mit 2:0 gegen die Shamrock Rovers gewannen. Die FAI-Cup-Sieger besiegten die Sieger der letzten Saison im Brandywell dank der ersten Hälfte der Tore von Will Patching und Michael Duffy. Die Hoops drückten in der zweiten Halbzeit auf die reduzierten Bedingungen, aber Ruaidhri Higgins' Gebühren standen fest, um den Vorhang-Raiser zu gewinnen. Derry reiste am nächsten Freitag zu St. Patricks Athletic für den Ligaöffner. Derry reiste am nächsten Freitag zu St. Patrick's Athletic für den Ligaöffner. Derry reiste am nächsten Freitag zu St. Patricks Athletic für den Ligaöffner. Derry reiste am nächsten Freitag zu St. Patricks Athletic für den Ligaöffner. Derry reiste zu St. Patrick	yes
The Hoops went on to win the Premier Division by 13 points but Duffy soon had City further ahead with a long-range effort which managed to squirm under keeper Leon Pohls and into the net. Last season's runners-up were two goals to good at the break. Graham Burke went closest to reducing the arrears in the second period but the Candystripes were comfortable winners a week prior to their quest for national glory. City boss Ruaidhri Higgins praised his team after what he said was the "hardest week of my life" following the death of his brother Kevin. "It's a kick in the teeth and there's tough weeks ahead but we'll get on with it in his memory," said Higgins. "To beat Shamrock Rovers and deservedly so with a good performance is really pleasing."	Nach dem Tod seines Bruders Kevin lobten die Candystripes seine Mannschaft nach dem Tod seines Bruders Kevin. "Es ist ein Kick in den Zähnen und es gibt harte Wochen vor seinem Tod", sagte Higgins. "Shamrock Rovers zu schlagen und mit einer guten Leistung zu verdienen, ist wirklich erfreulich".	yes
DHS hires law firm to handle possible Alejandro Mayorkas impeachment proceedings	DHS stellt Anwaltskanzlei ein, um mögliche Amtsenthebungsverfahren von Alejandro Mayorkas zu bearbeiten	yes
The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. "The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings," a DHS spokesperson said in a statement Friday. "DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS." A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.	Das Department of Homeland Security hat eine externe Anwaltskanzlei eingestellt - Debevoise & Plimpton -, um bei möglichen Amtsenthebungsverfahren für Sekretär Alejandro Mayorkas zu helfen, da er potenziell von den republikanischen Abgeordneten wegen seines Umgangs mit der südlichen Grenze angeklagt wird. "Das Department of Homeland Security hat externe Berater beibehalten, um sicherzustellen, dass die lebenswichtige Mission des Departments nicht durch die nie dagewesenen, ungerechtfertigten und partisanischen Impeachment-Bemühungen einiger Mitglieder des Kongresses unterbrochen wird, die bereits Schritte zur Einleitung von Verfahren unternommen haben", sagte ein Sprecher der DHS in einer Erklärung am Freitag. "DHS wird seine Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen priorisiert und unsere Grenzen sichert, während er angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagiert, die Aufsicht über die DHS	yes
The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, "We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility." He conceded that "it will take time" to comply with the House's investigation. "I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission." A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.	Das Justizministerium hat unlängst darauf hingewiesen, dass der Vertrag mit Debevoise als angemessene Ausgaben für die DHS eingestuft wird. DHS versucht sicherzustellen, dass seine Mission nicht durch partisanische Angriffe untergraben wird und dass Verfahren gegen Mayorkas von Leuten mit der entsprechenden Expertise behandelt werden. Mayorkas hat diese Entwicklung nicht kommentiert, aber sie fragte nach der Untersuchung des Parlaments am letzten Donnerstag. "Wir werden mit diesem Kongress zusammenarbeiten, genauso wie wir es mit dem letzten Kongress getan haben". Er sagte Reportern: "Wir werden mit diesem Kongress zusammenarbeiten, genauso wie wir es mit dem letzten Kongress getan haben". Er stimmte zu, dass "es Zeit braucht, um der Untersuchung des Hauses nachzukommen". Ein hochrangiger Beamter der DHS bestätigte, dass die Zeit, die wir für die Erfüllung unserer Mission ausgeben". Ein hochrangiger Beamter der DHS bestätigte, dass Mayorkas noch nicht mit seiner neuen externen Beraterin erfüllt hat	yes
