Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewalttätigem Protest vor britischem Flüchtlingshotel	yes
The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained "following violent disorder." Merseyside police commissioner Emily Spurrell told Radio City, "It was incredibly dangerous and there were a couple of injuries amongst the police officers."	Der Vorfall kommt nach einer Zunahme der Zahl von Flüchtlingen und Asylsuchenden, die den Kanal mit Booten nach Großbritannien überqueren. Die Polizei hat 15-Personen verhaftet, nachdem eine Anti-Flüchtlings-Demonstration vor einem Hotel, in dem Asylsuchende untergebracht wurden, in der Nähe der englischen Stadt Liverpool gewalttätig wurde. Die Merseyside Police Department sagte, ein Polizeibeamter und zwei Zivilisten erlitten leichte Verletzungen während der Unruhen am Freitagabend in Knowsley. Die Polizei sagte, einige Demonstranten warfen Gegenstände und setzten einen Polizeiwagen in Brand. Die verhafteten Personen, die im Alter von 13 bis 54 lagen, wurden "nach gewalttätigen Unruhen" inhaftiert. Merseyside Polizeikommissarin Emily Spurrell sagte Radio City: "Es war unglaublich gefährlich und es gab ein paar Verletzungen unter den Polizeibeamten."	yes
The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media. George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community. "The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety," he said. "Those demonstrating against refugees at this protest tonight do not represent this community." The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.	Das Innenministerium nutzt das Hotel seit letztem Jahr, um Asylsuchende vorübergehend unterzubringen, so lokale Medien. George Howarth, der Knowsley im britischen Parlament vertritt, sagte, die Gewalt am Freitagabend spiegelte die Gemeinschaft nicht wider. "Die Menschen in Knowsley sind keine Fanatiker und begrüßen Menschen, die aus einigen der gefährlichsten Orte der Welt auf der Suche nach einem sicheren Ort fliehen", sagte er. "Diejenigen, die heute Abend bei diesem Protest gegen Flüchtlinge demonstrieren, vertreten diese Gemeinschaft nicht." Der Protest fand inmitten verschärfter Spannungen statt, da immer mehr Flüchtlinge und Migranten den Kanal mit kleinen Booten überqueren.	yes
More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to "stop the boats" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.	Mehr als 45.000 Menschen erreichten Großbritannien auf dieser Strecke in 2022 und die meisten beantragten Asyl. Das System zur Prüfung von Asylanträgen hat sich aufgrund politischer Turbulenzen und bürokratischer Verzögerungen verlangsamt, so dass viele Asylsuchende in Hotels oder anderen vorübergehenden Unterkünften festsitzen. Die Kanalüberquerungen sind zu einem politischen Thema geworden, wobei die konservative Regierung verspricht, "die Boote zu stoppen" und einen Plan verfolgt, solche Asylsuchenden nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.	no
President's Cup: Candystripes defeat Rovers in season opener at Brandywell	President's Cup: Candystripes besiegen Rovers im Saisonauftakt in Brandywell	yes
Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell	Derry Mittelfeldspieler Adam Reilly schließt Lee Grace im Brandywell ab	yes
Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers. The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy. The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser. Derry travel to St. Patrick's Athletic for the league opener next Friday. Patching's side-footed volley nudged Derry in front after 23 minutes - the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.	Derry City gewann im President's Cup die 2-0-Sieger gegen Shamrock Rovers. Die FAI Cup-Inhaber besiegten die Ligasieger der letzten Saison im Brandywell dank Toren von Will Patching und Michael Duffy in der ersten Halbzeit. Die Hoops drängten in der zweiten Halbzeit auf reduzierte Bedingungen, aber Ruaidhri Higgins' Anklage standhaft, um den Vorhang zu gewinnen. Derry reist nächsten Freitag zum Ligaauftakt nach St. Patrick's Athletic. Patchings seitliche Volley stieß Derry nach 23-Minuten nach vorne. Der Mittelfeldspieler eröffnete die Punktzahl, als die Foylesider im vergangenen Februar 2-1-Sieger gegen die späteren Champions ausgingen.	yes
The Hoops went on to win the Premier Division by 13 points but Duffy soon had City further ahead with a long-range effort which managed to squirm under keeper Leon Pohls and into the net. Last season's runners-up were two goals to good at the break. Graham Burke went closest to reducing the arrears in the second period but the Candystripes were comfortable winners a week prior to their quest for national glory. City boss Ruaidhri Higgins praised his team after what he said was the "hardest week of my life" following the death of his brother Kevin. "It's a kick in the teeth and there's tough weeks ahead but we'll get on with it in his memory," said Higgins. "To beat Shamrock Rovers and deservedly so with a good performance is really pleasing."	Die Hoops gewannen die Premier Division mit 13-Punkten, aber Duffy hatte City bald weiter vorne mit einer Langstreckenanstrengung, die es schaffte, sich unter Torhüter Leon Pohls und ins Netz zu winden. Die Zweitplatzierten der letzten Saison waren in der Pause zwei Tore zu gut. Graham Burke kam der Verringerung der Rückstände in der zweiten Periode am nächsten, aber die Candystripes waren eine Woche vor ihrer Suche nach nationalem Ruhm bequeme Gewinner. City-Chef Ruaidhri Higgins lobte sein Team nach der "härtesten Woche meines Lebens" nach dem Tod seines Bruders Kevin. "Es ist ein Tritt in die Zähne und es stehen harte Wochen vor uns, aber wir werden es in seinem Gedächtnis fortsetzen", sagte Higgins. "Shamrock Rovers zu schlagen und das zu Recht mit einer guten Leistung zu tun, ist wirklich erfreulich."	yes
DHS hires law firm to handle possible Alejandro Mayorkas impeachment proceedings	DHS stellt Anwaltskanzlei ein, um mögliches Amtsenthebungsverfahren von Alejandro Mayorkas zu bearbeiten	yes
The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. "The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings," a DHS spokesperson said in a statement Friday. "DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS." A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.	Das Department of Homeland Security hat eine externe Anwaltskanzlei Debevoise Plimpton eingestellt, um bei möglichen Amtsenthebungsverfahren für Sekretär Alejandro Mayorkas zu helfen, da er möglicherweise von den Republikanern des Hauses wegen seines Umgangs mit der Südgrenze angeklagt wird. "Das Department of Homeland Security hat externe Berater beauftragt, um sicherzustellen, dass die lebenswichtige Mission des Department nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressmitglieder unterbrochen wird, die bereits Schritte unternommen haben, um ein Verfahren einzuleiten", sagte ein DHS-Sprecher am Freitag in einer Erklärung. "Das DHS wird seine Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen weiterhin priorisieren und gleichzeitig angemessen auf die über 70-Kongressausschüsse und Unterausschüsse reagieren, die das DHS überwachen." Ein DHS-Beamter teilt CBS News mit, dass die Abteilung die Firma für Vertragsarbeit für das Leben der Kongressuntersuchung eingestellt hat. Debevoise wurde aufgrund seiner Expertise in Amtsenthebungen und seiner parteiübergreifenden Erfahrung in der Zusammenarbeit mit dem Kongress bei der Aufsicht ausgewählt.	yes
The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, "We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility." He conceded that "it will take time" to comply with the House's investigation. "I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission." A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.	Das Justizministerium hat kürzlich darauf hingewiesen, dass der Vertrag mit Debevoise als angemessene Ausgaben für DHS qualifiziert ist. DHS versucht sicherzustellen, dass seine Mission nicht durch parteiische Angriffe untergraben wird und dass Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise bearbeitet werden. Mayorkas hat diese Entwicklung nicht kommentiert, aber nach der Amtsenthebung am vergangenen Donnerstag gefragt, sagte er Reportern: "Wir werden mit diesem Kongress zusammenarbeiten, genau wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung." Er räumte ein, dass "es Zeit dauern wird", um der Untersuchung des Hauses nachzukommen. "Ich werde diese Zeit genauso verbringen wie andere und wir werden auch die Zeit, die wir für die Erfüllung unserer Mission verbringen, nicht kompromittieren." Ein hochrangiger Beamter des DHS bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Anwalt getroffen hat. Nur ein Kabinettsmitglied wurde jemals angeklagt, Kriegsminister William Belknap. In 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber schließlich vom Senat freigesprochen.	yes
