Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewaltsamen Protesten vor einem britischen Flüchtlingshotel	yes
The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained "following violent disorder." Merseyside police commissioner Emily Spurrell told Radio City, "It was incredibly dangerous and there were a couple of injuries amongst the police officers."	Die Polizei hat 15 Personen verhaftet, nachdem eine Anti-Flüchtlingsdemonstration vor einem Hotel, in dem Asylsuchende in England untergebracht waren, in der Nähe von Liverpool zu Gewalt geworden war. Die Merseyside-Polizeibehörde gab bekannt, dass ein Polizist und zwei Zivilisten bei den Unruhen in der Freitagabend in Knowsley leicht verletzt wurden. Die Polizei sagte, einige Demonstranten haben Gegenstände geworfen und einen Polizeiwagen angezündet. Die festgenommenen Personen, deren Alter von 13 bis 54 Jahren reicht, wurden aufgrund "gewaltsamer Unordnung" in Haft genommen.	yes
The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media. George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community. "The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety," he said. "Those demonstrating against refugees at this protest tonight do not represent this community." The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.	Nach Angaben der britischen Medien nutzt das Innenministerium das Hotel seit letztem Jahr zur vorübergehenden Unterbringung von Asylsuchenden. George Howarth, der Knowsley im britischen Parlament vertritt, sagte, die Gewalt in der Freitagabend würde die Gemeinschaft nicht widerspiegeln. "Die Menschen in Knowsley sind keine Bigoten und begrüßen Menschen, die aus einigen der gefährlichsten Orte der Welt auf der Suche nach einem sicheren Ort fliehen", sagte er. "Diejenigen, die heute Nacht gegen Flüchtlinge bei diesem Protest demonstrieren, repräsentieren diese Gemeinschaft nicht". Der Protest fand unter erhöhtem Druck statt, als eine wachsende Zahl von Flüchtlingen und Migranten in kleinen Booten den Ärmelkanal überquerte.	yes
More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to "stop the boats" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.	Das System für die Überprüfung von Asylanträgen hat aufgrund von politischen Turbulenzen und bürokratischen Verzögerungen sich bis zur Krise verlangsamt, so dass viele Asylbewerber in Hotels oder anderen temporären Unterkünften stecken. Die Kanalübergänge sind zu einem politischen Thema geworden, da die konservative Regierung versprochen hat, "die Boote zu stoppen" und einen Plan zu verfolgen, solche Asylbewerber nach Ruanda zu schicken. Die Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.	no
President's Cup: Candystripes defeat Rovers in season opener at Brandywell	Präsidenten-Cup: Candystripes besiegt Rovers im Saisonauftakt in Brandywell	yes
Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell	Der Mittelfeldspieler Adam Reilly schließt Lee Grace im Brandywell ab	yes
Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers. The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy. The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser. Derry travel to St. Patrick's Athletic for the league opener next Friday. Patching's side-footed volley nudged Derry in front after 23 minutes - the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.	Derry City überschlug den Präsidentenpokal mit einem 2-0-Sieg gegen die Shamrock Rovers. Die FAI-Cup-Inhaber besiegten den Spitzenwinner der vergangenen Saison im Brandywell dank der ersten Halbzeit-Tore von Will Patching und Michael Duffy. Die Hoops drängten in der zweiten Halbzeit auf reduzierte Termine, aber Ruaidhri Higgins' Gebühren standen fest, um den Vorhang zu heben. Derry reist für den ersten Spielspiel der Liga am nächsten Freitag zum St. Patrick's Athletic. Der Patchings seitlicher Volley schob Derry nach 23 Minuten an die Vorderseite - der Mittelfeldspieler eröffnete die Torzahl, als die Foyles mit 2-1 gegen die letztendlichen Gewinner im Februar gewonnen haben.	yes
The Hoops went on to win the Premier Division by 13 points but Duffy soon had City further ahead with a long-range effort which managed to squirm under keeper Leon Pohls and into the net. Last season's runners-up were two goals to good at the break. Graham Burke went closest to reducing the arrears in the second period but the Candystripes were comfortable winners a week prior to their quest for national glory. City boss Ruaidhri Higgins praised his team after what he said was the "hardest week of my life" following the death of his brother Kevin. "It's a kick in the teeth and there's tough weeks ahead but we'll get on with it in his memory," said Higgins. "To beat Shamrock Rovers and deservedly so with a good performance is really pleasing."	Die Hoops gewannen die Premier Division um 13 Punkte, aber Duffy hatte City mit einem langen Anspruch, der unter Torhüter Leon Pohls und ins Netz zu krümmen gelang, bald weiter geführt. Die Zweitplatzierten der vergangenen Saison hatten zu der Pause noch zwei Tore zu gut. Graham Burke kam in der zweiten Periode dem Rückstand in der Saison am nächsten, aber die Candystripes waren eine Woche vor ihrer Suche nach nationalem Ruhm komfortable Sieger. City-Boss Ruaidhri Higgins lobte seine Mannschaft nach seiner "schwierigsten Woche meines Lebens" nach dem Tod seines Bruders Kevin. "Es ist ein Kick in die Zähne und es gibt harte Wochen vor uns, aber wir werden weitermachen", sagte Higgins.	yes
DHS hires law firm to handle possible Alejandro Mayorkas impeachment proceedings	Das DHS stellt eine Anwaltskanzlei ein, um sich mit dem möglichen Amtsenthebungsverfahren gegen Alejandro Mayorkas zu befassen.	yes
The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. "The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings," a DHS spokesperson said in a statement Friday. "DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS." A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.	Der Minister hat eine externe Anwaltskanzlei - Debevoise & Plimpton - engagiert, um bei einem möglichen Impeachmentverfahren für den Justizminister Alejandro Mayorkas zu unterstützen, da er potenziell angeklagt werden könnte. "Das Ministerium für Innere Sicherheit hat externe Berater engagiert, um sicherzustellen, dass die lebenswichtige Aufgabe des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsversuche einiger Kongressmitglieder unterbrochen wird, die bereits Schritte unternommen haben, um ein Verfahren zu beginnen", sagte ein Sprecher des DHS in einer Erklärung am Freitag. "DHS wird weiterhin ihre Arbeit priorisieren, um unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu sichern, während sie angemessen auf die über 70 Kongresskomitees und Unterausschüsse, die die Aufsicht über das DHS haben, reagiert". Ein Beamter des DHS teilt mit, die Abteilung habe die Firma CBS für die lebenslange Amtsenthebungsverfahren des Kongresses engagiert, weil Debevoice und ihre Erfahrung in der Überprüfung der bipartisanerwählung mit dem Kongress ausgewählt worden ist.	yes
The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, "We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility." He conceded that "it will take time" to comply with the House's investigation. "I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission." A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.	Das Justizministerium gab kürzlich bekannt, dass der Vertrag mit Debevoise eine angemessene Ausgabe für das DHS ist. Das DHS versucht sicherzustellen, dass der Auftrag nicht untergraben wird durch partisane Angriffe und dass die Verfahren gegen Mayorkas von Menschen mit der entsprechenden Fachkenntnis abgewickelt werden. Mayorkas hat diese Entwicklungen nicht kommentiert, aber nach der Amtsenthebungsuntersuchung am vergangenen Donnerstag gefragt, sagte er zu den Reportern: "Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung". Er räumte ein, dass es "Zeit brauchen wird", um den Untersuchungsanforderungen des Kongresses zu entsprechen. "Ich werde diese Zeit wie andere verbringen, und wir werden auch nicht die Zeit kompromittieren, die wir für die Erfüllung unseres Auftrags verwenden".	yes
