Police arrest 15 after violent protest outside UK refugee hotel	Polizei nimmt 15 nach gewalttätigen Protesten vor britischem Flüchtlingshotel fest	yes
The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained "following violent disorder." Merseyside police commissioner Emily Spurrell told Radio City, "It was incredibly dangerous and there were a couple of injuries amongst the police officers."	Der Vorfall ereignete sich, nachdem die Zahl der Flüchtlinge und Asylsuchenden, die in Booten den Ärmelkanal nach Großbritannien überquerten, zugenommen hatte. Die Polizei hat 15 Personen festgenommen, nachdem eine flüchtlingsfeindliche Demonstration vor einem Hotel, in dem Asylbewerber untergebracht waren, in der Nähe der englischen Stadt Liverpool gewalttätig geworden war. Die Polizei von Merseyside teilte mit, ein Polizist und zwei Zivilisten hätten bei den Unruhen am Freitagabend in Knowsley leichte Verletzungen erlitten. Die Polizei sagte, einige Demonstranten hätten Gegenstände geworfen und einen Polizeiwagen in Brand gesetzt. Die Festgenommenen im Alter von 13 bis 54 Jahren wurden "nach gewalttätigen Unruhen" festgenommen. Die Polizeikommissarin von Merseyside, Emily Spurrell, sagte gegenüber Radio City: "Es war unglaublich gefährlich und es gab ein paar Verletzte unter den Polizisten."	yes
The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media. George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community. "The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety," he said. "Those demonstrating against refugees at this protest tonight do not represent this community." The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.	Das Innenministerium nutzt das Hotel seit letztem Jahr, um Asylsuchende vorübergehend unterzubringen, wie lokale Medien berichten. George Howarth, der Knowsley im britischen Parlament vertritt, sagte, die Gewalt am Freitagabend spiegele nicht die Gemeinschaft wider. "Die Menschen in Knowsley sind keine Fanatiker und heißen Menschen willkommen, die auf der Suche nach einem sicheren Ort aus einigen der gefährlichsten Orte der Welt fliehen", sagte er. "Diejenigen, die heute Abend bei diesem Protest gegen Flüchtlinge demonstrieren, repräsentieren nicht diese Gemeinschaft." Der Protest fand inmitten erhöhter Spannungen statt, da immer mehr Flüchtlinge und Migranten in kleinen Booten den Ärmelkanal überqueren.	yes
More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to "stop the boats" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.	Mehr als 45.000 Menschen erreichten das Vereinigte Königreich im Jahr 2022 auf diesem Weg, und die meisten beantragten Asyl. Das System zur Prüfung von Asylanträgen hat sich aufgrund politischer Unruhen und bürokratischer Verzögerungen verlangsamt, so dass viele Asylsuchende in Hotels oder anderen vorübergehenden Unterkünften festsitzen. Die Überquerung des Ärmelkanals ist zu einem Politikum geworden, da die konservative Regierung verspricht, "die Boote zu stoppen", und einen Plan verfolgt, solche Asylsuchenden nach Ruanda zu schicken. Gegner werfen der Regierung vor, verzweifelte Menschen auf der Flucht vor Krieg und Armut zu dämonisieren.	no
President's Cup: Candystripes defeat Rovers in season opener at Brandywell	President's Cup: Candystripes besiegen Rovers beim Saisonauftakt in Brandywell	yes
Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell	Derry-Mittelfeldspieler Adam Reilly schließt Lee Grace im Brandywell	yes
Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers. The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy. The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser. Derry travel to St. Patrick's Athletic for the league opener next Friday. Patching's side-footed volley nudged Derry in front after 23 minutes - the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.	Derry City gewann den President's Cup mit 2:0 gegen die Shamrock Rovers. Der FAI-Cup-Titelverteidiger besiegte den Ligasieger der letzten Saison im Brandywell dank der Tore von Will Patching und Michael Duffy in der ersten Halbzeit. Die Hoops drängten in der zweiten Halbzeit auf kürzere Bedingungen, aber die Schützlinge von Ruaidhri Higgins hielten stand, um den Auftakt zu gewinnen. Derry reist am kommenden Freitag zum Ligaauftakt zu St. Patrick's Athletic. Patchings Volleyschuss mit dem Seitfallzieher brachte Derry nach 23 Minuten in Führung - der Mittelfeldspieler eröffnete das Tor, als die Foylesider im vergangenen Februar mit 2:1 gegen den späteren Meister gewannen.	yes
The Hoops went on to win the Premier Division by 13 points but Duffy soon had City further ahead with a long-range effort which managed to squirm under keeper Leon Pohls and into the net. Last season's runners-up were two goals to good at the break. Graham Burke went closest to reducing the arrears in the second period but the Candystripes were comfortable winners a week prior to their quest for national glory. City boss Ruaidhri Higgins praised his team after what he said was the "hardest week of my life" following the death of his brother Kevin. "It's a kick in the teeth and there's tough weeks ahead but we'll get on with it in his memory," said Higgins. "To beat Shamrock Rovers and deservedly so with a good performance is really pleasing."	Die Hoops gewannen die Premier Division mit 13 Punkten Vorsprung, aber Duffy brachte City bald mit einem Fernschuss weiter in Führung, der sich unter Torhüter Leon Pohls hindurch ins Netz winden konnte. Der Vizemeister der vergangenen Saison hatte zur Pause zwei Tore zu gut. Graham Burke kam dem Rückstand im zweiten Drittel am nächsten, aber die Candystripes waren eine Woche vor ihrem Streben nach nationalem Ruhm komfortable Gewinner. City-Trainer Ruaidhri Higgins lobte sein Team nach der "härtesten Woche meines Lebens" nach dem Tod seines Bruders Kevin. "Es ist ein Tritt in die Zähne und es liegen harte Wochen vor uns, aber wir werden in seinem Gedenken damit weitermachen", sagte Higgins. "Die Shamrock Rovers verdient und das mit einer guten Leistung, ist wirklich erfreulich."	yes
DHS hires law firm to handle possible Alejandro Mayorkas impeachment proceedings	DHS beauftragt Anwaltskanzlei mit möglichem Amtsenthebungsverfahren gegen Alejandro Mayorkas	yes
The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. "The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings," a DHS spokesperson said in a statement Friday. "DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS." A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.	Das Heimatschutzministerium hat eine externe Anwaltskanzlei - Debevoise &; Plimpton - beauftragt, bei einem möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu helfen, da er möglicherweise von den Republikanern des Repräsentantenhauses wegen seines Umgangs mit der Südgrenze angeklagt wird. "Das Ministerium für Innere Sicherheit hat einen externen Rechtsbeistand beauftragt, um sicherzustellen, dass die lebenswichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressmitglieder unterbrochen wird, die bereits Schritte zur Einleitung eines Verfahrens unternommen haben", sagte ein DHS-Sprecher in einer Erklärung am Freitag. "Das DHS wird seiner Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen weiterhin Priorität einräumen und gleichzeitig den über 70 Ausschüssen und Unterausschüssen des Kongresses, die das DHS beaufsichtigen, angemessen reagieren." Ein DHS-Beamter sagte CBS News, das Ministerium habe die Firma für die Dauer der Kongressuntersuchung mit Auftragsarbeiten beauftragt. Debevoise wurde aufgrund seiner Expertise im Amtsenthebungsverfahren und seiner überparteilichen Erfahrung in der Zusammenarbeit mit dem Kongress bei der Aufsicht ausgewählt.	yes
The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, "We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility." He conceded that "it will take time" to comply with the House's investigation. "I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission." A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.	Das Justizministerium teilte kürzlich mit, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS zu qualifizieren ist. Das DHS versucht sicherzustellen, dass seine Mission nicht durch Partisanenangriffe untergraben wird und dass Verfahren gegen Mayorkas von Personen mit entsprechendem Fachwissen bearbeitet werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber auf die Frage nach der Amtsenthebungsuntersuchung am vergangenen Donnerstag sagte er Reportern: "Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung." Er räumte ein, dass es "Zeit brauchen" werde, um der Untersuchung des Repräsentantenhauses nachzukommen. "Ich werde diese Zeit genauso verbringen wie andere auch, und wir werden auch die Zeit, die wir für die Erfüllung unserer Mission aufwenden, nicht gefährden." Ein hochrangiger Beamter des DHS bestätigte, dass sich Mayorkas noch nicht mit seinem neuen externen Anwalt getroffen hat. Nur ein einziges Kabinettsmitglied wurde jemals des Amtes enthoben, Kriegsminister William Belknap. Im Jahr 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber schließlich vom Senat freigesprochen.	yes
Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online	Vier Jugendliche wegen des Angriffs auf einen 14-Jährigen angeklagt, der an Selbstmord starb, nachdem ein Prügelvideo online gestellt wurde	yes
Dad says daughter took her own life after being bullied at NJ school	Vater sagt, Tochter habe sich das Leben genommen, nachdem sie an der Schule in New Jersey gemobbt worden war	yes
Four New Jersey teenagers have been charged in connection with the attack of a 14-year-old girl who later took her own life after video of the incident was posted on social media. One juvenile is charged with aggravated assault, two juveniles are charged with conspiracy to commit aggravated assault and one juvenile is charged with harassment, Ocean County prosecutor Bradley D. Billhimer told CBS News in an email.	Vier Teenager aus New Jersey wurden im Zusammenhang mit dem Angriff auf ein 14-jähriges Mädchen angeklagt, das sich später das Leben nahm, nachdem ein Video des Vorfalls in den sozialen Medien veröffentlicht wurde. Ein Jugendlicher wird wegen schwerer Körperverletzung angeklagt, zwei Jugendliche wegen Verschwörung zur Begehung schwerer Körperverletzung und ein Jugendlicher wegen Belästigung, teilte der Staatsanwalt von Ocean County, Bradley D. Billhimer, CBS News in einer E-Mail mit.	yes
Adriana Kuch, 14, was found dead in her Bayville home on February 3, two days after the disturbing video of the attack at Central Regional High School was posted online. The video showed girls throwing a drink at the teen, then kicking and dragging her down school hallways. They pushed Adriana into red lockers lining the school hallways and one of the girls in a pink shirt punched Kuch repeatedly.	Adriana Kuch, 14, wurde am 3. Februar tot in ihrem Haus in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online gestellt worden war. Das Video zeigte, wie Mädchen den Teenager mit einem Getränk bewarfen, ihn dann traten und über die Schulflure schleiften. Sie stießen Adriana in rote Schließfächer, die die Schulflure säumten, und eines der Mädchen in einem rosa Hemd schlug Kuch wiederholt.	yes
Another girl outside of the video frame laughed as she recorded the scene. Two adults came in to break up the attack, with one adult pulling the teens apart. Adriana lay hurt and bruised on the hallway floor as the adult tried to help her up.	Ein anderes Mädchen außerhalb des Videobildes lachte, als sie die Szene aufnahm. Zwei Erwachsene kamen herein, um den Angriff zu unterbrechen, wobei ein Erwachsener die Teenager auseinanderzog. Adriana lag verletzt und verletzt auf dem Flurboden, als der Erwachsene versuchte, ihr aufzuhelfen.	yes
One of the girls said, "That's what you get." "She loved life. She was the happiest kid. Everybody loved her," her father, Michael Kuch, told CBS New York on Thursday, adding that he's angry and wants everyone to see the video and what the teens did to his daughter.	Eines der Mädchen sagte: "Das ist es, was du bekommst." "Sie liebte das Leben. Sie war das glücklichste Kind. Jeder liebte sie", sagte ihr Vater, Michael Kuch, am Donnerstag gegenüber CBS New York und fügte hinzu, dass er wütend sei und möchte, dass jeder das Video sieht und was die Teenager seiner Tochter angetan haben.	no
