Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewalttätigem Protest vor britischem Flüchtlingshotel	yes
The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained "following violent disorder." Merseyside police commissioner Emily Spurrell told Radio City, "It was incredibly dangerous and there were a couple of injuries amongst the police officers."	Der Vorfall ereignete sich nach einem Anstieg der Zahl der Flüchtlinge und Asylsuchenden, die in Booten den Ärmelkanal nach Großbritannien überquerten. Die Polizei hat 15 Personen festgenommen, nachdem eine Demonstration gegen Flüchtlinge vor einem Hotel, in dem Asylbewerber untergebracht waren, in der Nähe der englischen Stadt Liverpool gewalttätig geworden war. Die Polizeibehörde von Merseyside sagte, ein Polizist und zwei Zivilisten hätten bei der Störung am Freitagabend in Knowsley leichte Verletzungen erlitten. Die Polizei sagte, einige Demonstranten warfen Gegenstände und zündeten einen Polizeiwagen an. Die Verhafteten Personen im Alter von 13 bis 54 Jahren wurden "nach gewalttätigen Unruhen" festgenommen. Emily Spurrell, Polizeikommissarin von Merseyside, sagte gegenüber Radio City: "Es war unglaublich gefährlich und es gab ein paar Verletzte unter den Polizisten."	yes
The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media. George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community. "The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety," he said. "Those demonstrating against refugees at this protest tonight do not represent this community." The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.	Das Innenministerium nutzt das Hotel laut lokalen Medien seit letztem Jahr vorübergehend zur Unterbringung von Asylbewerbern. George Howarth, der Knowsley im britischen Parlament vertritt, sagte, die Gewalt am Freitagabend spiegele nicht die Gemeinschaft wider. "Die Menschen in Knowsley sind keine Frömmler und heißen Menschen willkommen, die auf der Suche nach einem sicheren Ort aus einigen der gefährlichsten Orte der Welt fliehen", sagte er. "Diejenigen, die heute Abend bei diesem Protest gegen Flüchtlinge demonstrieren, repräsentieren nicht diese Gemeinschaft." Der Protest fand inmitten erhöhter Spannungen statt, da immer mehr Flüchtlinge und Migranten in kleinen Booten den Ärmelkanal überqueren.	yes
More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to "stop the boats" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.	Mehr als 45.000 Menschen erreichten 2022 auf diesem Weg das Vereinigte Königreich, und die meisten beantragten Asyl. Das System zur Prüfung von Asylanträgen ist aufgrund politischer Unruhen und bürokratischer Verzögerungen zum Stillstand gekommen, so dass viele Asylbewerber in Hotels oder anderen vorübergehenden Unterkünften festsitzen. Die Kanalüberquerungen sind zu einem politischen Thema geworden, wobei die konservative Regierung versprach, "die Boote zu stoppen" und einen Plan verfolgt, solche Asylsuchenden nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.	no
President's Cup: Candystripes defeat Rovers in season opener at Brandywell	President's Cup: Candystripes besiegen Rovers beim Saisonauftakt in Brandywell	yes
Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell	Derry-Mittelfeldspieler Adam Reilly schließt Lee Grace im Brandywell	yes
Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers. The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy. The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser. Derry travel to St. Patrick's Athletic for the league opener next Friday. Patching's side-footed volley nudged Derry in front after 23 minutes - the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.	Derry City siegte im President's Cup mit einem 2: 0-Sieg über die Shamrock Rovers. Der FAI-Pokalsieger besiegte den Ligasieger der letzten Saison im Brandywell dank der Tore von Will Patching und Michael Duffy in der ersten Halbzeit. Die Reifen drängten in der zweiten Halbzeit auf reduzierte Bedingungen, aber Ruaidhri Higgins 'Schützlinge standen fest, um den Auftakt zu gewinnen. Derry reist zum Ligaauftakt am kommenden Freitag nach St. Patrick's Athletic. Patchings Seitenfußvolley schoss Derry nach 23 Minuten in Führung - der Mittelfeldspieler eröffnete die Torschützenliste, als die Foylesider im vergangenen Februar 2: 1 gegen den späteren Meister gewannen.	yes
The Hoops went on to win the Premier Division by 13 points but Duffy soon had City further ahead with a long-range effort which managed to squirm under keeper Leon Pohls and into the net. Last season's runners-up were two goals to good at the break. Graham Burke went closest to reducing the arrears in the second period but the Candystripes were comfortable winners a week prior to their quest for national glory. City boss Ruaidhri Higgins praised his team after what he said was the "hardest week of my life" following the death of his brother Kevin. "It's a kick in the teeth and there's tough weeks ahead but we'll get on with it in his memory," said Higgins. "To beat Shamrock Rovers and deservedly so with a good performance is really pleasing."	Die Hoops gewannen die Premier Division mit 13 Punkten, aber Duffy hatte City bald mit einem Fernschuss weiter vorne, der sich unter Keeper Leon Pohls ins Netz winden konnte. Der Vizemeister der letzten Saison war zur Pause zwei Tore zu gut. Graham Burke ging am nächsten daran, den Rückstand in der zweiten Periode zu reduzieren, aber die Candystripes waren eine Woche vor ihrem Streben nach nationalem Ruhm komfortable Gewinner. Stadtchef Ruaidhri Higgins lobte sein Team nach der "härtesten Woche meines Lebens" nach dem Tod seines Bruders Kevin. "Es ist ein Tritt in die Zähne und es liegen harte Wochen vor uns, aber wir werden in seiner Erinnerung damit weitermachen", sagte Higgins. "Die Shamrock Rovers zu schlagen und das zu Recht mit einer guten Leistung, ist wirklich erfreulich."	yes
DHS hires law firm to handle possible Alejandro Mayorkas impeachment proceedings	DHS beauftragt Anwaltskanzlei mit der Abwicklung eines möglichen Amtsenthebungsverfahrens gegen Alejandro Mayorkas	yes
The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. "The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings," a DHS spokesperson said in a statement Friday. "DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS." A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.	Das Heimatschutzministerium hat eine externe Anwaltskanzlei - Debevoise & Plimpton - beauftragt, bei einem möglichen Amtsenthebungsverfahren gegen Sekretär Alejandro Mayorkas behilflich zu sein, da er möglicherweise von Republikanern des Repräsentantenhauses wegen seines Umgangs mit der Südgrenze angeklagt wird. "Das Heimatschutzministerium hat einen externen Anwalt beauftragt, um sicherzustellen, dass die lebenswichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressmitglieder unterbrochen wird, die bereits Schritte unternommen haben, um ein Verfahren einzuleiten", sagte ein DHS-Sprecher in einer Erklärung Freitag. "Das DHS wird seiner Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen weiterhin Priorität einräumen und gleichzeitig angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagieren, die das DHS beaufsichtigen." Ein DHS-Beamter teilt CBS News mit, dass das Ministerium die Firma für Vertragsarbeiten für die Dauer der Kongressuntersuchung eingestellt hat. Debevoise wurde aufgrund seiner Expertise im Bereich Amtsenthebung und seiner parteiübergreifenden Erfahrung in der Zusammenarbeit mit dem Kongress bei der Aufsicht ausgewählt.	yes
The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, "We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility." He conceded that "it will take time" to comply with the House's investigation. "I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission." A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.	Das Justizministerium teilte kürzlich mit, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS gilt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch Angriffe von Partisanen untergraben wird und dass Verfahren gegen Mayorkas von Personen mit der entsprechenden Expertise bearbeitet werden. Mayorkas hat diese Entwicklung nicht kommentiert, aber nach der Amtsenthebungsuntersuchung am vergangenen Donnerstag gefragt, sagte er Reportern: "Wir werden mit diesem Kongress zusammenarbeiten, genau wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung." Er räumte ein, dass "es einige Zeit dauern wird", um den Ermittlungen des Hauses nachzukommen. "Ich werde diese Zeit wie andere verbringen und wir werden auch die Zeit, die wir für die Erfüllung unserer Mission aufwenden, nicht gefährden." Ein hochrangiger Beamter des DHS bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Anwalt getroffen hat. Nur ein Kabinettsmitglied wurde jemals angeklagt, Kriegsminister William Belknap. 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber letztendlich vom Senat freigesprochen.	yes
Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online	Vier Teenager wegen Angriffs auf einen 14-Jährigen angeklagt, der an Selbstmord gestorben ist, nachdem das Prügelvideo online gestellt wurde	yes
Dad says daughter took her own life after being bullied at NJ school	Vater sagt, Tochter habe sich das Leben genommen, nachdem sie an der New Jersey School gemobbt wurde	yes
Four New Jersey teenagers have been charged in connection with the attack of a 14-year-old girl who later took her own life after video of the incident was posted on social media. One juvenile is charged with aggravated assault, two juveniles are charged with conspiracy to commit aggravated assault and one juvenile is charged with harassment, Ocean County prosecutor Bradley D. Billhimer told CBS News in an email.	Vier Teenager aus New Jersey wurden im Zusammenhang mit dem Angriff eines 14-jährigen Mädchens angeklagt, das sich später das Leben nahm, nachdem ein Video des Vorfalls in den sozialen Medien veröffentlicht worden war. Ein Jugendlicher wird wegen schwerer Körperverletzung angeklagt, zwei Jugendliche wegen Verschwörung wegen schwerer Körperverletzung und ein Jugendlicher wegen Belästigung, teilte der Staatsanwalt von Ocean County, Bradley D. Billhimer, CBS News in einer E-Mail mit.	yes
Adriana Kuch, 14, was found dead in her Bayville home on February 3, two days after the disturbing video of the attack at Central Regional High School was posted online. The video showed girls throwing a drink at the teen, then kicking and dragging her down school hallways. They pushed Adriana into red lockers lining the school hallways and one of the girls in a pink shirt punched Kuch repeatedly.	Adriana Kuch, 14, wurde am 3. Februar tot in ihrem Haus in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs auf die Central Regional High School online gestellt wurde. Das Video zeigte Mädchen, die einen Drink auf den Teenager warfen, dann traten und zerrten sie die Schulflure hinunter. Sie stießen Adriana in rote Schließfächer, die die Schulflure säumten, und eines der Mädchen in einem rosa Hemd schlug Kuch wiederholt.	yes
Another girl outside of the video frame laughed as she recorded the scene. Two adults came in to break up the attack, with one adult pulling the teens apart. Adriana lay hurt and bruised on the hallway floor as the adult tried to help her up.	Ein anderes Mädchen außerhalb des Videorahmens lachte, als sie die Szene aufzeichnete. Zwei Erwachsene kamen herein, um den Angriff aufzulösen, wobei ein Erwachsener die Teenager auseinanderzog. Adriana lag verletzt und verletzt auf dem Flurboden, als der Erwachsene versuchte, ihr aufzuhelfen.	yes
One of the girls said, "That's what you get." "She loved life. She was the happiest kid. Everybody loved her," her father, Michael Kuch, told CBS New York on Thursday, adding that he's angry and wants everyone to see the video and what the teens did to his daughter.	Eines der Mädchen sagte: "Das ist es, was du bekommst." "Sie liebte das Leben. Sie war das glücklichste Kind. Jeder hat sie geliebt ", sagte ihr Vater Michael Kuch am Donnerstag gegenüber CBS New York und fügte hinzu, dass er wütend ist und möchte, dass jeder das Video sieht und was die Teenager seiner Tochter angetan haben.	no
