Police arrest 15 after violent protest outside UK refugee hotel	Polizei verhaftet 15 nach gewalttätigem Protest vor britischem Flüchtlingshotel	yes
The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained "following violent disorder." Merseyside police commissioner Emily Spurrell told Radio City, "It was incredibly dangerous and there were a couple of injuries amongst the police officers."	Der Vorfall ereignete sich nach einem Anstieg der Zahl von Flüchtlingen und Asylsuchenden, die mit Booten den Ärmelkanal nach Großbritannien überqueren. Die Polizei hat 15 Personen nach einer Anti-Flüchtlings-Demonstration vor einem Hotel, in dem Asylsuchende untergebracht waren, in der Nähe der englischen Stadt Liverpool verhaftet. Die Polizeibehörde von Merseyside teilte mit, dass ein Polizist und zwei Zivilisten während der Unruhen am Freitagabend in Knowsley leicht verletzt wurden. Die Polizei sagte, einige Demonstranten hätten Gegenstände geworfen und einen Polizeiwagen angezündet. Die Festgenommenen im Alter zwischen 13 und 54 Jahren wurden „nach gewalttätigen Ausschreitungen“ festgenommen. Die Polizeichefin von Merseyside, Emily Spurrell, sagte Radio City: „Es war unglaublich gefährlich und es gab ein paar Verletzte unter den Polizisten.“	yes
The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media. George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community. "The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety," he said. "Those demonstrating against refugees at this protest tonight do not represent this community." The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.	Lokalen Medien zufolge nutzt das Innenministerium das Hotel seit letztem Jahr, um Asylsuchende vorübergehend unterzubringen. George Howarth, der Knowsley im britischen Parlament vertritt, sagte, die Gewalt am Freitagabend spiegele nicht die Gemeinschaft wider. „Die Menschen von Knowsley sind keine Fanatiker und heißen Menschen willkommen, die aus einigen der gefährlichsten Orte der Welt fliehen, um einen Ort der Sicherheit zu finden“, sagte er. „Diejenigen, die heute Abend gegen Flüchtlinge demonstrieren, repräsentieren diese Gemeinschaft nicht.“ Der Protest fand inmitten erhöhter Spannungen statt, da immer mehr Flüchtlinge und Migranten in kleinen Booten den Ärmelkanal überqueren.	yes
More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to "stop the boats" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.	Über 45.000 Menschen erreichten das Vereinigte Königreich im Jahr 2022 auf diesem Weg, und die meisten beantragten Asyl. Aufgrund politischer Turbulenzen und bürokratischer Verzögerungen ist das System zur Prüfung von Asylanträgen langsamer geworden, so dass viele Asylsuchende in Hotels oder anderen Behelfsunterkünften festsitzen. Die Überquerungen zum Ärmelkanal sind zu einem politischen Thema geworden. Die konservative Regierung hat versprochen, „die Boote aufzuhalten“ und verfolgt einen Plan, solche Asylsuchenden nach Ruanda zu schicken. Gegner werfen der Regierung vor, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.	no
President's Cup: Candystripes defeat Rovers in season opener at Brandywell	President's Cup: Candystripes besiegen Rovers beim Saisonauftakt in Brandywell	yes
Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell	Derry Mittelfeldspieler Adam Reilly macht Lee Grace im Brandywell dicht	yes
Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers. The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy. The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser. Derry travel to St. Patrick's Athletic for the league opener next Friday. Patching's side-footed volley nudged Derry in front after 23 minutes - the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.	Derry City gewann den President's Cup mit 2:0 gegen die Shamrock Rovers. Die FAI-Cup-Träger besiegten die Ligasieger der vergangenen Saison im Brandywell dank der Tore von Will Patching und Michael Duffy. Die Hoops drängten zu reduzierten Konditionen in der zweiten Hälfte, aber Ruaidhri Higgins' Ladungen stand fest, um den Vorhang zu öffnen. Derry reist für den Ligaauftakt am kommenden Freitag zu St. Patrick's Athletic. Patchings Seitenfuß Volley schubste Derry nach 23 Minuten nach vorne - der Mittelfeldspieler eröffnete den Torreigen als die Foylesider lief 2:1-Sieger über die späteren Meister im vergangenen Februar.	yes
The Hoops went on to win the Premier Division by 13 points but Duffy soon had City further ahead with a long-range effort which managed to squirm under keeper Leon Pohls and into the net. Last season's runners-up were two goals to good at the break. Graham Burke went closest to reducing the arrears in the second period but the Candystripes were comfortable winners a week prior to their quest for national glory. City boss Ruaidhri Higgins praised his team after what he said was the "hardest week of my life" following the death of his brother Kevin. "It's a kick in the teeth and there's tough weeks ahead but we'll get on with it in his memory," said Higgins. "To beat Shamrock Rovers and deservedly so with a good performance is really pleasing."	Die Hoops gewannen mit 13 Punkten Vorsprung in der Premier Division, doch Duffy hatte City schnell einen Vorsprung, der sich unter Leon Pohls winden konnte. Der Vizemeister der letzten Saison hatte zur Pause zwei Tore zu viel. Graham Burke ging am nächsten zum Abbau der Rückstände in der zweiten Periode, aber die Candystripes waren komfortable Sieger eine Woche vor ihrem Streben nach nationalem Ruhm. City-Chef Ruaidhri Higgins lobte sein Team nach dem, was er sagte, war die „härteste Woche meines Lebens“ nach dem Tod seines Bruders Kevin. „Es ist ein Tritt auf die Zähne und es liegen harte Wochen vor uns, aber wir werden es in seiner Erinnerung weiterführen“, sagte Higgins. „Es ist wirklich erfreulich, Shamrock Rovers zu schlagen, und das verdientermaßen mit einer guten Leistung.“	yes
DHS hires law firm to handle possible Alejandro Mayorkas impeachment proceedings	DHS beauftragt Anwaltskanzlei für mögliche Amtsenthebungsverfahren gegen Alejandro Mayorkas	yes
The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. "The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings," a DHS spokesperson said in a statement Friday. "DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS." A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.	Das Heimatschutzministerium hat eine externe Anwaltskanzlei - Debevoise & Plimpton - beauftragt, bei einem möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu helfen, da er wegen seines Umgangs mit der Südgrenze möglicherweise von Republikanern des Repräsentantenhauses angeklagt wird. „Das Heimatschutzministerium hat externe Berater hinzugezogen, um sicherzustellen, dass die lebenswichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressmitglieder unterbrochen wird, die bereits Schritte unternommen haben, um ein Verfahren einzuleiten“, sagte ein DHS-Sprecher in einer Erklärung am Freitag. „Das DHS wird weiterhin seine Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen und zum Schutz unserer Grenzen priorisieren und gleichzeitig den über 70 Kongressausschüssen und Unterausschüssen, die die Aufsicht über das DHS haben, angemessen Rechnung tragen.“ Ein DHS-Beamter teilte CBS News mit, das Ministerium habe die Firma für die Dauer der Kongressuntersuchung beauftragt. Debevoise wurde aufgrund seiner Expertise im Amtsenthebungsverfahren und seiner überparteilichen Erfahrung bei der Zusammenarbeit mit dem Kongress bei der Aufsicht ausgewählt.	yes
The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, "We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility." He conceded that "it will take time" to comply with the House's investigation. "I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission." A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.	Das Justizministerium hat kürzlich mitgeteilt, dass der Vertrag mit Debevoise für das DHS eine angemessene Ausgabe darstellt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch parteipolitische Angriffe untergraben wird und das Verfahren gegen Mayorkas von Personen mit entsprechendem Fachwissen durchgeführt wird. Mayorkas kommentierte diese Entwicklung nicht, sagte aber auf die Frage nach der Amtsenthebungsuntersuchung am vergangenen Donnerstag zu Reportern: „Wir werden mit diesem Kongress kooperieren, genauso wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung.“ Er räumte ein, dass es „Zeit brauchen wird“, um der Untersuchung des Repräsentantenhauses nachzukommen. „Ich werde diese Zeit nutzen, wie andere auch, und wir werden die Zeit, die wir für die Erfüllung unserer Mission aufwenden, nicht aufs Spiel setzen.“ Ein hochrangiger Beamter des DHS bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Berater getroffen hat. Nur gegen ein Kabinettsmitglied wurde je ein Amtsenthebungsverfahren eingeleitet: Kriegsminister William Belknap. 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant tätig war, beschuldigt, Bestechungsgelder angenommen zu haben.	yes
