Police arrest 15 after violent protest outside UK refugee hotel	Polizei nimmt 15 Personen nach gewaltsamen Protesten vor einem britischen Flüchtlingshotel fest	yes
The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained "following violent disorder." Merseyside police commissioner Emily Spurrell told Radio City, "It was incredibly dangerous and there were a couple of injuries amongst the police officers."	Der Vorfall ereignete sich, nachdem die Zahl der Flüchtlinge und Asylbewerber, die in Booten den Ärmelkanal nach Großbritannien überqueren, gestiegen war. Die Polizei hat 15 Personen festgenommen, nachdem es bei einer Anti-Flüchtlings-Demonstration vor einem Hotel, in dem Asylbewerber untergebracht sind, in der Nähe der englischen Stadt Liverpool zu Gewalt gekommen war. Nach Angaben der Polizei von Merseyside wurden bei den Unruhen am Freitagabend in Knowsley ein Polizist und zwei Zivilisten leicht verletzt. Nach Angaben der Polizei warfen einige Demonstranten mit Gegenständen und setzten einen Polizeiwagen in Brand. Die festgenommenen Personen im Alter von 13 bis 54 Jahren wurden "nach gewalttätigen Ausschreitungen" in Gewahrsam genommen. Die Polizeipräsidentin von Merseyside, Emily Spurrell, sagte gegenüber Radio City: "Es war unglaublich gefährlich und es gab einige Verletzte unter den Polizeibeamten."	yes
The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media. George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community. "The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety," he said. "Those demonstrating against refugees at this protest tonight do not represent this community." The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.	Lokalen Medien zufolge nutzt das Innenministerium das Hotel seit dem vergangenen Jahr zur vorübergehenden Unterbringung von Asylbewerbern. George Howarth, der Knowsley im britischen Parlament vertritt, sagte, die Gewalt am Freitagabend spiegele nicht die Gemeinschaft wider. "Die Einwohner von Knowsley sind keine Fanatiker und heißen die Menschen willkommen, die aus einigen der gefährlichsten Orte der Welt fliehen und einen sicheren Ort suchen", sagte er. "Diejenigen, die heute Abend bei dieser Demonstration gegen Flüchtlinge demonstrieren, repräsentieren diese Gemeinschaft nicht". Der Protest fand in einer Zeit erhöhter Spannungen statt, in der eine wachsende Zahl von Flüchtlingen und Migranten in kleinen Booten den Ärmelkanal überquert.	yes
More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to "stop the boats" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.	Im Jahr 2022 erreichten mehr als 45.000 Menschen das Vereinigte Königreich auf diesem Weg, und die meisten von ihnen beantragten Asyl. Das System zur Prüfung von Asylanträgen ist aufgrund politischer Unruhen und bürokratischer Verzögerungen ins Stocken geraten, so dass viele Asylsuchende in Hotels oder anderen vorübergehenden Unterkünften festsitzen. Die Überquerung des Ärmelkanals ist zu einem politischen Thema geworden. Die konservative Regierung hat versprochen, "die Boote zu stoppen", und einen Plan verfolgt, solche Asylbewerber nach Ruanda zu schicken. Die Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.	no
President's Cup: Candystripes defeat Rovers in season opener at Brandywell	President's Cup: Candystripes besiegen Rovers beim Saisonauftakt in Brandywell	yes
Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell	Derrys Mittelfeldspieler Adam Reilly bringt Lee Grace im Brandywell zu Fall	yes
Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers. The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy. The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser. Derry travel to St. Patrick's Athletic for the league opener next Friday. Patching's side-footed volley nudged Derry in front after 23 minutes - the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.	Derry City hat den President's Cup mit einem 2:0-Sieg über die Shamrock Rovers gewonnen. Der FAI-Cup-Titelverteidiger besiegte den Ligasieger der letzten Saison im Brandywell dank der Tore von Will Patching und Michael Duffy in der ersten Halbzeit. In der zweiten Halbzeit konnten die Hoops den Rückstand verkürzen, doch die Schützlinge von Ruaidhri Higgins blieben standhaft und gewannen das Vorspiel. Am kommenden Freitag reist Derry zum Ligaauftakt zu St. Patrick's Athletic. Patching brachte Derry nach 23 Minuten mit einem Volleyschuss in Führung. Der Mittelfeldspieler hatte bereits im vergangenen Februar beim 2:1-Sieg der Foylesiders gegen den späteren Meister den Torreigen eröffnet.	yes
The Hoops went on to win the Premier Division by 13 points but Duffy soon had City further ahead with a long-range effort which managed to squirm under keeper Leon Pohls and into the net. Last season's runners-up were two goals to good at the break. Graham Burke went closest to reducing the arrears in the second period but the Candystripes were comfortable winners a week prior to their quest for national glory. City boss Ruaidhri Higgins praised his team after what he said was the "hardest week of my life" following the death of his brother Kevin. "It's a kick in the teeth and there's tough weeks ahead but we'll get on with it in his memory," said Higgins. "To beat Shamrock Rovers and deservedly so with a good performance is really pleasing."	Die Hoops gewannen die Premier Division mit 13 Punkten Vorsprung, doch Duffy brachte City mit einem Distanzschuss, der unter Torhüter Leon Pohls hindurch ins Netz flog, in Führung. Der Vizemeister der letzten Saison lag zur Pause mit zwei Toren in Führung. Graham Burke konnte den Rückstand im zweiten Durchgang zwar noch einmal verkürzen, doch die Candystripes gewannen eine Woche vor dem Spiel um den nationalen Ruhm souverän. City-Chef Ruaidhri Higgins lobte sein Team nach der, wie er sagte, "schwersten Woche meines Lebens" nach dem Tod seines Bruders Kevin. "Es ist ein Tritt in den Hintern und es liegen harte Wochen vor uns, aber wir werden in seinem Gedenken weitermachen", sagte Higgins. "Die Shamrock Rovers mit einer guten Leistung verdientermaßen zu schlagen, ist wirklich erfreulich.	yes
DHS hires law firm to handle possible Alejandro Mayorkas impeachment proceedings	DHS beauftragt Anwaltskanzlei mit der Bearbeitung eines möglichen Amtsenthebungsverfahrens gegen Alejandro Mayorkas	yes
The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. "The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings," a DHS spokesperson said in a statement Friday. "DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS." A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.	Das Heimatschutzministerium hat eine externe Anwaltskanzlei - Debevoise & Plimpton - beauftragt, um bei einem möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu helfen, der möglicherweise von den Republikanern im Repräsentantenhaus wegen seines Umgangs mit der Südgrenze angeklagt wird. "Das Heimatschutzministerium hat einen externen Anwalt beauftragt, um sicherzustellen, dass die lebenswichtigen Aufgaben des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsverfahren einiger Kongressabgeordneter unterbrochen werden, die bereits Schritte unternommen haben, um ein Verfahren einzuleiten", sagte ein Sprecher des Heimatschutzministeriums am Freitag in einer Erklärung. "Das DHS wird seine Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen weiter priorisieren und gleichzeitig den über 70 Kongressausschüssen und Unterausschüssen, die die Aufsicht über das DHS haben, angemessen antworten." Ein Beamter des DHS sagte CBS News, dass das Ministerium die Firma für die Dauer der Untersuchung des Kongresses unter Vertrag genommen hat. Die Wahl fiel auf Debevoise, weil sie über Fachwissen im Bereich der Anklageerhebung und überparteiliche Erfahrung in der Zusammenarbeit mit dem Kongress bei der Überwachung verfügt.	yes
The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, "We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility." He conceded that "it will take time" to comply with the House's investigation. "I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission." A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.	Das Justizministerium hat kürzlich mitgeteilt, dass der Vertrag mit Debevoise eine angemessene Ausgabe für das DHS darstellt. Das DHS versucht sicherzustellen, dass sein Auftrag nicht durch parteipolitische Angriffe unterminiert wird und dass das Verfahren gegen Mayorkas von Personen mit dem entsprechenden Fachwissen geführt wird. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber als er am vergangenen Donnerstag auf das Amtsenthebungsverfahren angesprochen wurde, sagte er zu Reportern: "Wir werden mit diesem Kongress zusammenarbeiten, so wie wir es mit dem letzten Kongress getan haben. Ich denke, das ist unsere Verantwortung." Er räumte ein, dass es "Zeit brauchen wird", um der Untersuchung des Repräsentantenhauses nachzukommen. "Ich werde diese Zeit ebenso wie andere aufwenden, und wir werden auch nicht die Zeit kompromittieren, die wir für die Erfüllung unserer Mission aufwenden." Ein hochrangiger Beamter des DHS bestätigte, dass Mayorkas sich noch nicht mit seinem neuen externen Rechtsberater getroffen hat. Nur ein einziges Kabinettsmitglied wurde jemals angeklagt, Kriegsminister William Belknap. Im Jahr 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant diente, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber letztlich vom Senat freigesprochen.	yes
Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online	Vier Jugendliche werden wegen eines Angriffs auf einen 14-Jährigen angeklagt, der durch Selbstmord starb, nachdem ein Video der Prügelattacke online gestellt wurde	yes
