Police arrest 15 after violent protest outside UK refugee hotel	Die Polizei verhaftet 15 Personen nach gewaltsamen Protesten vor einem britischen Flüchtlingshotel	yes
The incident comes after increase in numbers of refugees and asylum seekers crossing the Channel to the UK in boats. Police have arrested 15 people after an anti-refugee demonstration outside a hotel used to house asylum seekers turned violent near the English city of Liverpool. The Merseyside Police department said a police officer and two civilians sustained minor injuries during the disturbance on Friday night in Knowsley. The police force said some protesters threw objects and set a police van on fire. The people arrested, who ranged in age from 13 to 54, were detained "following violent disorder." Merseyside police commissioner Emily Spurrell told Radio City, "It was incredibly dangerous and there were a couple of injuries amongst the police officers."	Der Vorfall ereignete sich, nachdem die Zahl der Flüchtlinge und Asylbewerber zugenommen hat, die mit Booten den Ärmelkanal nach Großbritannien überqueren. Die Polizei hat 15 Personen festgenommen, nachdem eine Demonstration gegen Flüchtlinge vor einem Hotel, in dem Asylbewerber untergebracht waren, in der Nähe der englischen Stadt Liverpool gewalttätig geworden war, festgenommen worden war. Die Polizei von Merseyside teilte mit, dass ein Polizeibeamter und zwei Zivilisten bei den Unruhen am Freitagabend in Knowsley leichte Verletzungen erlitten haben. Nach Angaben der Polizei haben einige Demonstranten Gegenstände geworfen und einen Polizeiwagen in Brand gesteckt. Die Verhafteten, die zwischen 13 und 54 Jahre alt waren, wurden „nach gewaltsamen Unruhen“ festgenommen. Emily Spurrell, Polizeikommissarin von Merseyside, sagte gegenüber Radio City: „Es war unglaublich gefährlich und es gab einige Verletzungen unter den Polizeibeamten.“	yes
The Home Office has been using the hotel to temporarily house asylum seekers since last year, according to local media. George Howarth, who represents Knowsley in the UK Parliament, said the violence on Friday night did not reflect the community. "The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety," he said. "Those demonstrating against refugees at this protest tonight do not represent this community." The protest took place amid heightened tensions as growing numbers of refugees and migrants cross the Channel in small boats.	Laut lokalen Medien nutzt das Innenministerium das Hotel seit letztem Jahr zur vorübergehenden Unterbringung von Asylbewerbern. George Howarth, der Knowsley im britischen Parlament vertritt, sagte, die Gewalt am Freitagabend spiegelte nicht die Gemeinschaft wider. „Die Menschen in Knowsley sind keine Fanatiker und heißen Menschen willkommen, die auf der Suche nach einem sicheren Ort aus einigen der gefährlichsten Orte der Welt fliehen“, sagte er. „Diejenigen, die heute Abend bei diesem Protest gegen Flüchtlinge demonstrieren, repräsentieren nicht diese Gemeinschaft.“ Der Protest fand inmitten der zunehmenden Spannungen statt, da immer mehr Flüchtlinge und Migranten den Ärmelkanal in kleinen Booten überqueren.	yes
More than 45,000 people reached the UK by that route in 2022, and most applied for asylum. The system for considering asylum applications has slowed to a crawl because of political turmoil and bureaucratic delays, leaving many asylum seekers stuck in hotels or other temporary accommodations. The Channel crossings have become a political issue, with the Conservative government promising to "stop the boats" and pursuing a plan to send such asylum seekers to Rwanda. Opponents have accused the government of demonising desperate people fleeing war and poverty.	Mehr als 45.000 Menschen erreichten 2022 auf diesem Weg das Vereinigte Königreich, und die meisten beantragten Asyl. Das System zur Prüfung von Asylanträgen ist aufgrund politischer Unruhen und bürokratischer Verzögerungen zum Erliegen gekommen, sodass viele Asylbewerber in Hotels oder anderen vorübergehenden Unterkünften festsitzen. Die Kanalübergänge sind zu einem politischen Thema geworden. Die konservative Regierung versprach, „die Boote anzuhalten“, und verfolgt einen Plan, solche Asylbewerber nach Ruanda zu schicken. Gegner haben der Regierung vorgeworfen, verzweifelte Menschen, die vor Krieg und Armut fliehen, zu dämonisieren.	no
President's Cup: Candystripes defeat Rovers in season opener at Brandywell	President's Cup: Candystripes besiegen Rovers beim Saisonauftakt in Brandywell	yes
Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell	Der Mittelfeldspieler von Derry, Adam Reilly, schließt Lee Grace im Brandywell ab	yes
Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers. The FAI Cup holders defeated last season's league winners at the Brandywell thanks to first-half goals from Will Patching and Michael Duffy. The Hoops pushed to reduced terms in the second half but Ruaidhri Higgins' charges stood firm to win the curtain-raiser. Derry travel to St. Patrick's Athletic for the league opener next Friday. Patching's side-footed volley nudged Derry in front after 23 minutes - the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.	Derry City gewann den President's Cup mit 2:0 gegen Shamrock Rovers. Der FAI-Pokalsieger besiegte die Ligasieger der letzten Saison im Brandywell dank der Tore von Will Patching und Michael Duffy in der ersten Halbzeit. Die Hoops drängten in der zweiten Halbzeit auf reduzierte Bedingungen, aber die Schützlinge von Ruaidhri Higgins blieben standhaft und gewannen den Vorwärtstrend. Derry reist zum Ligaauftakt am kommenden Freitag nach St. Patrick's Athletic. Patchings seitlicher Volleyschuss brachte Derry nach 23 Minuten in Front. Der Mittelfeldspieler erzielte den Führungstreffer, als der Foylesider im vergangenen Februar mit 2:1 gegen den späteren Meister gewann.	yes
The Hoops went on to win the Premier Division by 13 points but Duffy soon had City further ahead with a long-range effort which managed to squirm under keeper Leon Pohls and into the net. Last season's runners-up were two goals to good at the break. Graham Burke went closest to reducing the arrears in the second period but the Candystripes were comfortable winners a week prior to their quest for national glory. City boss Ruaidhri Higgins praised his team after what he said was the "hardest week of my life" following the death of his brother Kevin. "It's a kick in the teeth and there's tough weeks ahead but we'll get on with it in his memory," said Higgins. "To beat Shamrock Rovers and deservedly so with a good performance is really pleasing."	Die Hoops gewannen die Premier Division mit 13 Punkten Vorsprung, aber Duffy hatte City bald mit einem Fernschuss weiter vorne, der es schaffte, sich unter Keeper Leon Pohls ins Netz zu winden. Der Vizemeister der letzten Saison hatte in der Pause zwei Tore zu gut. Graham Burke war in der zweiten Halbzeit am nächsten dran, die Rückstände zu reduzieren, aber die Candystripes waren eine Woche vor ihrem Streben nach nationalem Ruhm komfortable Gewinner. Stadtchef Ruaidhri Higgins lobte sein Team nach der seiner Meinung nach „schwersten Woche meines Lebens“ nach dem Tod seines Bruders Kevin. „Es ist ein Tritt in die Zähne und es liegen harte Wochen vor uns, aber wir werden es in seinem Gedächtnis weitermachen“, sagte Higgins. „Shamrock Rovers zu schlagen, und das zu Recht mit einer guten Leistung, ist wirklich erfreulich.“	yes
DHS hires law firm to handle possible Alejandro Mayorkas impeachment proceedings	Das DHS beauftragt eine Anwaltskanzlei mit der Bearbeitung eines möglichen Amtsenthebungsverfahrens gegen Alejandro Mayorkas	yes
The Department of Homeland Security has hired an outside law firm - Debevoise & Plimpton - to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border. "The Department of Homeland Security has retained outside counsel to help ensure the Department's vital mission is not interrupted by the unprecedented, unjustified, and partisan impeachment efforts by some Members of Congress, who have already taken steps to initiate proceedings," a DHS spokesperson said in a statement Friday. "DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS." A DHS official tells CBS News the department has hired the firm for contracted work for the life of the congressional inquiry. Debevoise was chosen because of its expertise in impeachment and bipartisan experience in working with Congress on oversight.	Das Department of Homeland Security hat eine externe Anwaltskanzlei - Debevoise & Plimpton - beauftragt, bei einem möglichen Amtsenthebungsverfahren gegen Minister Alejandro Mayorkas zu helfen, da er möglicherweise von Republikanern im Repräsentantenhaus wegen seines Umgangs mit der Südgrenze angeklagt wird. „Das Department of Homeland Security hat externe Anwälte hinzugezogen, um sicherzustellen, dass die wichtige Mission des Ministeriums nicht durch die beispiellosen, ungerechtfertigten und parteiischen Amtsenthebungsbemühungen einiger Kongressmitglieder unterbrochen wird, die bereits Schritte zur Einleitung eines Verfahrens unternommen haben“, sagte ein DHS-Sprecher am Freitag in einer Erklärung. „Das DHS wird seiner Arbeit zum Schutz unseres Landes vor Terrorismus, zur Reaktion auf Naturkatastrophen und zur Sicherung unserer Grenzen weiterhin Priorität einräumen und gleichzeitig den über 70 Kongressausschüssen und Unterausschüssen, die das DHS beaufsichtigen, angemessen reagieren.“ Ein Beamter des DHS teilt CBS News mit, dass die Abteilung die Firma für die Dauer der Untersuchung durch den Kongress mit Auftragsarbeiten beauftragt hat. Debevoise wurde aufgrund seines Fachwissens im Bereich Amtsenthebung und seiner überparteilichen Erfahrung in der Zusammenarbeit mit dem Kongress im Bereich der Aufsicht ausgewählt.	yes
The Justice Department recently advised that the contract with Debevoise qualifies as an appropriate expenditure for DHS. DHS is trying to ensure that its mission isn't undermined by partisan attacks and that proceedings against Mayorkas are being handled by people with the appropriate expertise. Mayorkas has not commented on this development, but asked about the impeachment inquiry last Thursday, he told reporters, "We will cooperate with this Congress, just as we did with the last Congress. I think that's our responsibility." He conceded that "it will take time" to comply with the House's investigation. "I will spend that time as will others and we will also not compromise the time that we spend in fulfilling our mission." A DHS senior official confirmed that Mayorkas has not yet met with his new outside counsel. Only one cabinet member has ever been impeached, Secretary of War William Belknap. In 1876, Belknap, who served in President Ulysses S. Grant's administration, was accused of accepting bribes but was ultimately acquitted by the Senate.	Das Justizministerium teilte kürzlich mit, dass der Vertrag mit Debevoise als angemessene Ausgabe für das DHS gilt. Das DHS versucht sicherzustellen, dass seine Mission nicht durch Partisanenangriffe untergraben wird und dass die Verfahren gegen Mayorkas von Personen mit dem entsprechenden Fachwissen geführt werden. Mayorkas hat sich zu dieser Entwicklung nicht geäußert, aber nach der Amtsenthebungsuntersuchung am vergangenen Donnerstag gefragt. Er sagte Reportern: „Wir werden mit diesem Kongress zusammenarbeiten, genau wie wir es mit dem letzten Kongress getan haben. Ich denke, das liegt in unserer Verantwortung.“ Er räumte ein, dass „es einige Zeit dauern wird“, den Ermittlungen des Repräsentantenhauses nachzukommen. „Ich werde diese Zeit wie andere verbringen, und wir werden auch bei der Zeit, die wir für die Erfüllung unserer Mission aufwenden, keine Kompromisse eingehen.“ Ein hochrangiger Beamter des DHS bestätigte, dass Mayorkas seinen neuen externen Anwalt noch nicht getroffen hat. Nur ein Kabinettsmitglied wurde jemals angeklagt, Kriegsminister William Belknap. 1876 wurde Belknap, der in der Regierung von Präsident Ulysses S. Grant tätig war, beschuldigt, Bestechungsgelder angenommen zu haben, wurde aber letztendlich vom Senat freigesprochen.	yes
