בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: three cheetah cubs were born in Iran	yes
החיה המהירה בעולם נופלת קורבן לציד אכזרי, לבצורות ולתאונות דרכים קטלניות ברחבי הרפובליקה האסלאמית •	The world's fastest animal falls victim to brutal poaching, droughts and fatal road accidents across the Islamic Republic •	yes
בעקבות כך צנח מספרם לפחות מ-20 ברדלסים.	As a result, their number dropped to less than 20 cheetahs.	yes
שלושה גורי ברדלס אסייתי הגיחו לאחרונה לאוויר העולם ברפובליקה האסלאמית של איראן.	Three Asian cheetah cubs recently emerged in the Islamic Republic of Iran.	yes
זוהי לידה נדירה, שמשפרת רק במעט את מצבה הטרגי של החיה הנמצאת בסכנת הכחדה במדינה בעקבות בצורות, ציידים ותאונות דרכים קטלניות.	It is a rare birth, which only slightly improves the tragic situation of the endangered animal in the country due to droughts, poachers and fatal road accidents.	yes
מדובר בלידה ראשונה של ברדלס בשבי באיראן.	This is the first captive birth of a cheetah in Iran.	yes
יש לציין כי הרפובליקה האסלאמית היא אחת מהמדינות האחרונות בעולם שבהן ברדלסים עוד חיים בטבע.	It should be noted that the Islamic Republic is one of the last countries in the world where cheetahs still live in the wild.	yes
בסוכנות הידיעות האיראנית "אירנא" דווח כי הצוות הווטרינרי, האמון על הפארק הלאומי תוראן שבמחוז סמנאן הצפוני, החליט על לידה קיסרית בשבי.	Iran's IRNA news agency reported that the veterinary team in charge of the Turan National Park in northern Semnan Province had decided on a captive cesarean birth.	yes
עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.	It also noted that fewer than 20 cheetahs have recently been recorded in seven different counties in the country.	yes
בעקבות הסכנה להכחדתם, האו"ם הוציא לפועל תוכנית הגנה עבורם עוד בשנת 2001.	Due to the danger of their extinction, the UN implemented a protection plan for them back in 2001.	yes
כעת, באיראן מקווים שהגורים החדשים יוכלו להביא בעתיד לגידול באוכלוסיית הברדלסים.	Now, Iran hopes that the new cubs can lead to an increase in the cheetah population in the future.	no
בחודש ינואר האחרון אמר סגן השר לענייני סביבה באיראן, חסן אכברי, כי אוכלוסיית הברדלסים במדינה הצטמצמה באופן דרמטי מ-100 ברדלסים בשנת 2010 ל-12 ברדלסים בלבד.	In January, Iran's deputy environment minister, Hassan Akbari, said that the country's cheetah population had dropped dramatically from 100 cheetahs in 2010 to just 12.	no
"המצב שלהם חמור באופן קיצוני", אמר אכברי וציין כי הברדלסים נפלו קורבן לבצורת באזורי המחיה שלהם, לציד ואף לתאונות דרכים.	"Their situation is extremely serious," Akbari said, noting that cheetahs have fallen victim to drought in their habitats, hunting and even traffic accidents.	no
הברדלס נחשב לחיה המהירה בעולם שמסוגלת להגיע למהירות של כ-100 קמ"ש.	The cheetah is considered the fastest animal in the world capable of reaching speeds of about 100 kilometers per hour.	no
את הברדלסים ניתן למצוא במקומות שונים על פני הגלובוס, מהודו ועד סנגל שבמערב אפריקה.	Cheetahs can be found in various places around the globe, from India to Senegal in West Africa.	no
ספוטיפיי רוצה לשדרג לכם את הרכב: בדקנו את ה-Car Thing	Spotify wants to upgrade your car: we tested the Car Thing	yes
בשקט בשקט, ספוטיפיי החלה לנסות את מזלה גם בעולם החומרה •	Quietly, Spotify has begun to try its luck in the hardware world as well •	yes
אחרי שנים של פיתוח - Car Thing נחשף והושק כניסוי קטן בארה"ב •	After years of development - Car Thing was unveiled and launched as a small trial in the US •	yes
שמנו יד על המכשיר הראשון בישראל •	We got our hands on the first device in Israel •	yes
החזון: להפוך את הרכבים הישנים שלכם לחכמים	The vision: Make your old cars smart	yes
ה-Car Thing הוא מוצר החומרה הראשון של ספוטיפיי, ונבנה במיוחד על מנת לספק פתרון לאנשים בעלי רכבים ישנים.	The Car Thing is Spotify's first hardware product, built specifically to provide a solution for people with older cars.	yes
לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה"ב, כאן בישראל.	A few weeks ago, I got an initial opportunity to try out the new product, which is currently only available to a few experimenters in the US, here in Israel.	yes
עבורי, הטיימינג של המשלוח היה יוצא מן הכלל, שכן הרכב הביתי שלנו התקלקל ונאלצנו לנהוג במשך כמה ימים עם רכב חליפי בעל מערכת ישנה.	For me, the timing of the delivery was outstanding, as our home car broke down and we had to drive for several days with a replacement vehicle with an old system.	yes
אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.	After two weeks of playing around, I realized how Car Thing can easily become an integral part of many people's systems.	yes
ומנגד, עם רשימת המתנה ארוכה וחוסר וודאות בנוגע להשקה עולמית, אני מאמין שרבים יעדיפו כבר להשתמש בפתרונות אחרים.	On the other hand, with a long waiting list and uncertainty regarding a global launch, I believe that many will already prefer to use other solutions.	yes
מרעיון למציאות	From idea to reality	no
אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.	Way back in 2018, Spotify users began to receive an interesting offer in their email inbox - the possibility of purchasing a new device with voice control and 4G connectivity, which will make any old car system smart.	no
השמועות אט אט דעכו עד שנה לאחר מכן, כשאתר Financial Times חשף כי החברה מתכננת להציג בקרוב מוצר חדש לרכב המדמה רדיו חכם עם חיבוריות בלוטות'.	The rumors slowly faded until a year later, when the Financial Times revealed that the company plans to soon introduce a new car product that simulates a smart radio with Bluetooth connectivity.	no
כמה חודשים לאחר מכן, השמועות הללו חזרו שוב לכותרות אחרי ששירות המוזיקה התעדכן עם מצב הרכב - אותו אחד שאנו מכירים כיום מהאפליקציה - המופעל ברגע שהסמארטפון מזהה חיבור למערכת באוטו.	A few months later, those rumors made headlines again after the music service was updated with the condition of the vehicle — the same one we now know from the app — that activates as soon as the smartphone detects a connection to the system in the car.	no
שנתיים עברו מאז.	Two years have passed since then.	no
אחרי אינספור שמועות והדלפות, ספוטיפיי חשפה בחודש אפריל האחרון את "Car Thing", המערכת החכמה שלה לכלי רכב.	After countless rumors and leaks, Spotify unveiled Car Thing, its smart system for vehicles, last April.	no
ספוטיפיי בחרה לשחרר את המכשיר החדש באופן מוגבל מאוד, עם רשימת המתנה ארוכה ועיכובים רבים בכל הנוגע למשלוחים.	Spotify chose to release the new device in a very limited way, with a long waiting list and many delays when it comes to deliveries.	no
אז כמובן, מיד אחרי מסיבת העיתונאים שקיימה, נכנסתי לאתר ונרשמתי.	So, of course, right after the press conference, I went to the website and signed up.	no
חודשיים לאחר מכן, ההודעה המיוחלת הגיעה.	Two months later, the long-awaited announcement arrived.	no
התחברות מחודשת לאתר תקנה לי את האפשרות לרכוש את המכשיר עם הפתעה קטנה - הוא לא יעלה לי דבר.	Reconnecting to the site will give me the option to purchase the device with a small surprise - it won't cost me anything.	no
אחרי חודש נוסף של המתנה, השליח סוף סוף דפק לי בדלת, מלווה בקופסה קטנה עם הלוגו של ספוטיפיי עליה.	After another month of waiting, the delivery person finally knocked on my door, accompanied by a small box with the Spotify logo on it.	no
ה-Car Thing	The Car Thing	no
בראש ובראשונה, המכשיר של ספוטיפיי הרשים אותי מאוד באיכות הבנייה שלו.	First and foremost, Spotify's device impressed me with its build quality.	no
וא מעט יותר קטן מהאייפון 11 שלי וכולל בקדמתו מסך מגע גדול, בהיר וחד משציפיתי.	And it's slightly smaller than my iPhone 11 and has a bigger, brighter and sharper touchscreen on the front than I expected.	no
כמו כן, תוכלו למצוא לצד המסך כפתור עגול וחוגה שתוכלו לסובב כדי לנווט בין מסכי הממשק.	Also, you will find next to the screen a round button and a dial that you can rotate to navigate between the interface screens.	no
ולמרות החוגה הענקית, אותה אתם יכולים לראות בתמונות, ה-Car Thing מצליח לשמור על פרופיל דקיק יחסית ולא לבלוט יותר מדי מהדשבורד.	And despite the huge dial, which you can see in the pictures, the Car Thing manages to maintain a relatively slim profile and not stand out too much from the dashboard.	no
באופן אישי, הייתי מעדיף שהחברה תאפשר לשנות את פעילות החוגה על מנת שאוכל לשלוט בווליום של הסמארטפון, שכן אני יכול לנווט גם באמצעות מסך המגע.	Personally, I would prefer the company to allow the dial to be changed so that I can control the volume of the smartphone, since I can also navigate using the touchscreen.	no
אולי זה יתאפשר בעדכון גרסה עתידי.	Perhaps this will be possible in a future version update.	no
המכשיר מגיע בקופסת קרטון קטנה ומינימליסטית, הכוללת בין היתר כבל USB Type C ומתאמים שונים להתקנתו.	The device comes in a small, minimalist cardboard box, which includes, among other things, a USB Type C cable and various adapters for installing it.	no
רבים מכם בטח זוכרים כיצד בעבר היינו נוהגים לנתק את מכשירי הרדיו ולהחביא אותם במגירה אחרי היציאה מהרכב.	Many of you probably remember how in the past we used to unplug the radios and hide them in a drawer after getting out of the car.	no
ה-Car Thing ללא ספק מחזיר את ההרגשה הזאת עם צורת הבנייה שלו.	The Car Thing undoubtedly brings that feeling back with the way it is built.	no
כלל המתאמים התחברו לגוף המכשיר באמצעות מגנט שהיה חזק מאוד, מה שמנע ממנו ליפול גם בעת נסיעה על כבישי עפר.	All adapters were attached to the body of the device using a magnet that was very strong, which prevented it from falling even when driving on dirt roads.	no
נוסף על כך, לאורך כל חלקו העליון ניתן למצוא כפתורים קטנים, אותם אפשר להגדיר בקלות להפעלת פלייליסטים שונים או פודקאסטים.	On top of that, there are small buttons all along the top, which you can easily set up to play various playlists or podcasts.	no
באמצעות לחיצה ארוכה על אחד מהכפתורים בזמן השמיעה, או באמצעות בקשה מהעוזרת הקולית, הגדרתי כמה פלייליסטים שאני שומע באופן תכוף ואת תכנית הרדיו שאני מאזין לה מדי בוקר בדרכים.	By pressing and holding one of the buttons while listening, or by asking my voice assistant, I set up some playlists that I listen to frequently and the radio show I listen to every morning on the go.	no
בכך, הפיצ'ר גרם לי להרגיש שה-Car Thing הוא יותר כמו רדיו לרכב מאשר הרחבה של הסמארטפון שלי.	In doing so, the feature made me feel that Car Thing was more like a car radio than an extension of my smartphone.	no
מרכב ישן לרכב חכם	From old body to smart car	no
אחרי התקנה פיזית פשוטה למדי, חיברתי את ה-Car Thing לחשמל.	After a fairly simple physical installation, I plugged in the Car Thing.	no
הופתעתי לטובה מתהליך ההגדרה.	I was pleasantly surprised by the setup process.	no
ההוראות היו ברורות, החיבור לאפליקציית ספוטיפיי לקח פחות מ-5 דקות, וכמה רגעים לאחר מכן הגעתי למסך הבית.	The instructions were clear, connecting to the Spotify app took less than 5 minutes, and a few moments later I reached the home screen.	no
למעשה, המכשיר מתחבר לסמארטפון דרך בלוטות' ושולט על האפליקציה כמו שלט, ולכן יכול להעתיק ממנה את כל המידע על החשבון שלנו.	In fact, the device connects to the smartphone via Bluetooth and controls the app like a remote, and therefore can copy all the information about our account from it.	no
משמע, עדיין תהיו חייבים לחבר את הסמארטפון שלכם לרכב, בין אם דרך בלוטות' או דרך כבל AUX על מנת לשמוע את המוזיקה.	This means you'll still have to connect your smartphone to your car, either via Bluetooth or via an AUX cable to hear the music.	no
מסך הבית מוכר לכל המשתמשים באפליקציה, שכן כמו היישום בסמארטפון, הוא שם דגש על תמונות האלבומים ורשימות ההשמעה.	The home screen is familiar to all users of the app, since, like the application on a smartphone, it emphasizes album photos and playlists.	no
כמו כן, במסך הבית, כמו זה שבאפליקציה, תוכלו למצוא המלצות למוזיקה בהתאם לטעם שלכם, את מסך החיפוש ואת הספריה האישית שלכם.	Also, on the home screen, like the one in the app, you can find music recommendations according to your taste, the search screen and your personal library.	no
כאמור, תוכלו לנווט בין המסכים השונים באמצעות מסך המגע או באמצעות המחוגה הידנית.	As mentioned, you can navigate between the different screens using the touchscreen or using the manual dial.	no
יתרה מכך, תוכלו בכל רגע נתון לקרוא לעוזרת הקולית של המכשיר באמצעות אמירת "היי ספוטיפיי".	What's more, you can call your device's voice assistant by saying "Hey Spotify" at any given moment.	no
באמצעותה, תוכלו להפעיל שירים, פלייליסטים, אלבומים ואפילו לחפש פודקאסטים.	With it, you can play songs, playlists, albums, and even search for podcasts.	no
מניסוני היא זיהתה די בקלות את הקול שלי גם כשהמוזיקה התנגנה ברקע והמזגן נשף ישירות על המכשיר.	From Nissoni, she recognized my voice quite easily even when the music was playing in the background and the air conditioner blew directly on the device.	no
זאת ככל הנראה הודות לארבעת המיקרופונים שהותקנו בחלקו העליון.	This is probably due to the four microphones installed at the top.	no
חשוב לציין שכרגע העוזרת הקולית אינה תומכת בעברית, ונכון לעת פרסום הכתבה, אין מידע על מתי עדכון שכזה יגיע.	It is important to note that at the moment the voice assistant does not support Hebrew, and as of the time of publication of this article, there is no information on when such an update will arrive.	no
אז האם שווה לחכות לו?	So is it worth waiting for?	no
חוויית השימוש שלי במכשיר הייתה נהדרת, וזו הפתעה חיובית בעיניי בהתחשב בכך שהוא עדיין בשלב שחרור ראשוני.	My experience using the device was great, which is a positive surprise to me considering it's still in the initial release phase.	no
גם בשימוש אינטנסיבי בנסיעות ארוכות, המכשיר המשיך לעבוד בצורה חלקה מבלי להתנתק מהסמארטפון שלי.	Even with intensive use on long trips, the device continued to work smoothly without disconnecting from my smartphone.	no
בכל זאת, מדי פעם נרשם גמגום קטן בממשק, אבל אני מאמין שספוטיפיי תטפל בבאגים שכאלה עם עדכוני גרסה עתידיים.	Still, there is a little stuttering in the interface from time to time, but I believe Spotify will address such bugs with future version updates.	no
ניכר שהחברה השבדית עבדה עליו הרבה בשנים האחרונות, ומבין הגרסאות השונות שדלפו באינטרנט בתקופה הזו, העיצוב של המוצר הסופי הוא כנראה האהוב עליי.	It's clear that the Swedish company has worked on it a lot in recent years, and of the various versions that leaked online during this period, the design of the final product is probably my favorite.	no
עדיין, כשראיתי את ה-Car Thing בפעם הראשונה, תהיתי למי בדיוק החברה מנסה לייעד אותו.	Still, when I saw the Car Thing for the first time, I wondered who exactly the company was trying to target it for.	no
הרי פעילותו מסתכמת בשליטה על האפליקציה בסמארטפון, ולא הרבה מעבר לזה.	After all, his activity boils down to controlling the app on a smartphone, and not much else.	no
מה זה שונה מלקנות מעמד לרכב בכמה שקלים ולחבר אותו כך שהסמארטפון יהיה קרוב יותר אלינו בעת נהיגה?	What's different from buying a car stand for a few shekels and attaching it so that the smartphone is closer to us when driving?	no
השאלה הזו מתחזקת בעת התחשבות בכך שמכשירי אייפון ואנדרואיד חזקים בהרבה מזה של ספוטיפיי, וברוב הפעמים יקנו למשתמש הרבה יותר פונקציונליות.	This question is reinforced when you consider that iPhones and Android devices are much more powerful than Spotify's, and in most cases will give the user much more functionality.	no
למרות כל זאת, ככל שהשתמשתי ב-Car Thing יותר ויותר, הבנתי כיצד ביכולתו לשפר את חוויית הנהיגה.	However, as I used Car Thing more and more, I realized how it could improve the driving experience.	no
