בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under the threat of extinction: three cheetah cubs were born in Iran	yes
החיה המהירה בעולם נופלת קורבן לציד אכזרי, לבצורות ולתאונות דרכים קטלניות ברחבי הרפובליקה האסלאמית •	The fastest animal in the world falls victim to brutal hunting, droughts and fatal road accidents throughout the Islamic Republic •	yes
בעקבות כך צנח מספרם לפחות מ-20 ברדלסים.	As a result, their number dropped to less than 20 cheetahs.	yes
שלושה גורי ברדלס אסייתי הגיחו לאחרונה לאוויר העולם ברפובליקה האסלאמית של איראן.	Three Asiatic cheetah cubs recently emerged into the world in the Islamic Republic of Iran.	yes
זוהי לידה נדירה, שמשפרת רק במעט את מצבה הטרגי של החיה הנמצאת בסכנת הכחדה במדינה בעקבות בצורות, ציידים ותאונות דרכים קטלניות.	This is a rare birth, which only slightly improves the tragic situation of the animal, which is in danger of extinction in the country due to forms, hunters and fatal road accidents.	yes
מדובר בלידה ראשונה של ברדלס בשבי באיראן.	This is the first birth of cheetahs in captivity in Iran.	yes
יש לציין כי הרפובליקה האסלאמית היא אחת מהמדינות האחרונות בעולם שבהן ברדלסים עוד חיים בטבע.	It should be noted that the Islamic Republic is one of the last countries in the world where cheetahs still live in the wild.	yes
בסוכנות הידיעות האיראנית "אירנא" דווח כי הצוות הווטרינרי, האמון על הפארק הלאומי תוראן שבמחוז סמנאן הצפוני, החליט על לידה קיסרית בשבי.	In the Iranian news agency "IRNA" it was reported that the veterinary team, in charge of the Turan National Park in the northern Samnan district, decided on a cesarean delivery in captivity.	yes
עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.	It was also noted that less than 20 cheetahs were recorded in the last period in seven different districts of the country.	yes
בעקבות הסכנה להכחדתם, האו"ם הוציא לפועל תוכנית הגנה עבורם עוד בשנת 2001.	Following the danger of their extinction, the UN implemented a protection plan for them back in 2001.	yes
כעת, באיראן מקווים שהגורים החדשים יוכלו להביא בעתיד לגידול באוכלוסיית הברדלסים.	Now, in Iran they hope that the new cubs can lead to an increase in the cheetah population in the future.	no
בחודש ינואר האחרון אמר סגן השר לענייני סביבה באיראן, חסן אכברי, כי אוכלוסיית הברדלסים במדינה הצטמצמה באופן דרמטי מ-100 ברדלסים בשנת 2010 ל-12 ברדלסים בלבד.	Last January, the Deputy Minister of Environmental Affairs in Iran, Hassan Akbari, said that the population of cheetahs in the country has decreased dramatically from 100 cheetahs in 2010 to only 12 cheetahs.	no
"המצב שלהם חמור באופן קיצוני", אמר אכברי וציין כי הברדלסים נפלו קורבן לבצורת באזורי המחיה שלהם, לציד ואף לתאונות דרכים.	"Their situation is extremely serious," Akbari said, noting that the cheetahs fell victim to drought in their living areas, hunting and even road accidents.	no
הברדלס נחשב לחיה המהירה בעולם שמסוגלת להגיע למהירות של כ-100 קמ"ש.	The cheetah is considered the fastest animal in the world, capable of reaching a speed of about 100 km/h.	no
