בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Three endangered cheetah cubs were born in Iran	yes
החיה המהירה בעולם נופלת קורבן לציד אכזרי, לבצורות ולתאונות דרכים קטלניות ברחבי הרפובליקה האסלאמית •	The world's fastest animal falls victim to brutal hunting, droughts and fatal road accidents across the Islamic Republic	yes
בעקבות כך צנח מספרם לפחות מ-20 ברדלסים.	As a result, the number dropped to less than 20 cheetahs.	yes
שלושה גורי ברדלס אסייתי הגיחו לאחרונה לאוויר העולם ברפובליקה האסלאמית של איראן.	Three Asian cheetah cubs have recently emerged from the Islamic Republic of Iran.	yes
זוהי לידה נדירה, שמשפרת רק במעט את מצבה הטרגי של החיה הנמצאת בסכנת הכחדה במדינה בעקבות בצורות, ציידים ותאונות דרכים קטלניות.	This is a rare birth, which only slightly improves the tragic condition of the endangered animal in the country following droughts, hunters and fatal traffic accidents.	yes
מדובר בלידה ראשונה של ברדלס בשבי באיראן.	This is the first birth of a captive cheetah in Iran.	yes
יש לציין כי הרפובליקה האסלאמית היא אחת מהמדינות האחרונות בעולם שבהן ברדלסים עוד חיים בטבע.	It should be noted that the Islamic Republic is one of the last countries in the world where cheetahs still live in the wild.	yes
בסוכנות הידיעות האיראנית "אירנא" דווח כי הצוות הווטרינרי, האמון על הפארק הלאומי תוראן שבמחוז סמנאן הצפוני, החליט על לידה קיסרית בשבי.	The Iranian news agency IRNA reported that the veterinary team, which is responsible for the Thoran National Park in the northern Semnan Province, decided on an imperial birth in captivity.	yes
עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.	It was also noted that fewer than 20 cheetahs have been recorded in seven different provinces in the country.	yes
בעקבות הסכנה להכחדתם, האו"ם הוציא לפועל תוכנית הגנה עבורם עוד בשנת 2001.	As a result of the threat to their extinction, the UN implemented a defense plan for them back in 2001.	yes
כעת, באיראן מקווים שהגורים החדשים יוכלו להביא בעתיד לגידול באוכלוסיית הברדלסים.	Now, Iran hopes that the new cubs will be able to increase the cheetah population in the future.	no
בחודש ינואר האחרון אמר סגן השר לענייני סביבה באיראן, חסן אכברי, כי אוכלוסיית הברדלסים במדינה הצטמצמה באופן דרמטי מ-100 ברדלסים בשנת 2010 ל-12 ברדלסים בלבד.	In January, Iran's deputy environment minister Hassan Akbari said the country's cheetah population had dropped dramatically from 100 in 2010 to just 12.	no
"המצב שלהם חמור באופן קיצוני", אמר אכברי וציין כי הברדלסים נפלו קורבן לבצורת באזורי המחיה שלהם, לציד ואף לתאונות דרכים.	"Their situation is extremely serious," Akbari said, noting that cheetahs have fallen victim to drought in their habitats, hunting and even traffic accidents.	no
הברדלס נחשב לחיה המהירה בעולם שמסוגלת להגיע למהירות של כ-100 קמ"ש.	The cheetah is considered the fastest animal in the world, capable of reaching a speed of 100 km/h.	no
את הברדלסים ניתן למצוא במקומות שונים על פני הגלובוס, מהודו ועד סנגל שבמערב אפריקה.	Cheetahs can be found in various places across the globe, from India to Senegal in West Africa.	no
