בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the shadow of extinction: Three cheetah cubs were born in Iran.	yes
החיה המהירה בעולם נופלת קורבן לציד אכזרי, לבצורות ולתאונות דרכים קטלניות ברחבי הרפובליקה האסלאמית •	The world's fastest animal falls victim to brutal hunting, droughts and fatal road accidents across the Islamic Republic.	yes
בעקבות כך צנח מספרם לפחות מ-20 ברדלסים.	As a result, their number dropped to less than 20 cheetahs.	yes
שלושה גורי ברדלס אסייתי הגיחו לאחרונה לאוויר העולם ברפובליקה האסלאמית של איראן.	Three Asian cheetah cubs recently emerged in the Islamic Republic of Iran.	yes
זוהי לידה נדירה, שמשפרת רק במעט את מצבה הטרגי של החיה הנמצאת בסכנת הכחדה במדינה בעקבות בצורות, ציידים ותאונות דרכים קטלניות.	This is a rare birth, which only slightly improves the tragic situation of the endangered animal in the country due to droughts, poachers and fatal road accidents.	yes
מדובר בלידה ראשונה של ברדלס בשבי באיראן.	This is the first birth of a captive cheetah in Iran.	yes
יש לציין כי הרפובליקה האסלאמית היא אחת מהמדינות האחרונות בעולם שבהן ברדלסים עוד חיים בטבע.	It should be noted that the Islamic Republic is one of the last countries in the world where cheetahs still live in the wild.	yes
בסוכנות הידיעות האיראנית "אירנא" דווח כי הצוות הווטרינרי, האמון על הפארק הלאומי תוראן שבמחוז סמנאן הצפוני, החליט על לידה קיסרית בשבי.	The Iranian news agency” IRNA reported that the veterinary team in charge of the Turkish National Park in the northern Semnan province had decided on an imperial birth in captivity in the country.	yes
עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.	It was also noted that fewer than 20 cheetahs have recently been documented in seven different districts of the country.	yes
בעקבות הסכנה להכחדתם, האו"ם הוציא לפועל תוכנית הגנה עבורם עוד בשנת 2001.	Following the danger of their extinction, the UN implemented a protection plan for them back in 2001, adding that the UN implemented a protection plan for them back in 2001.	yes
כעת, באיראן מקווים שהגורים החדשים יוכלו להביא בעתיד לגידול באוכלוסיית הברדלסים.	Now, Iran hopes that the new cubs can bring about an increase in cheetah populations in the future.	no
