בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	Under a Threat of Extinction: Three cheetah cubs were born in Iran	yes
החיה המהירה בעולם נופלת קורבן לציד אכזרי, לבצורות ולתאונות דרכים קטלניות ברחבי הרפובליקה האסלאמית •	The world's fastest animal is falling prey to ruthless hunting, traps, and deadly road accidents throughout the Islamic Republic.	yes
בעקבות כך צנח מספרם לפחות מ-20 ברדלסים.	As a result, the population of the cheetahs has dropped to less than 20.	yes
שלושה גורי ברדלס אסייתי הגיחו לאחרונה לאוויר העולם ברפובליקה האסלאמית של איראן.	Three Asiatic cheetah cubs recently appeared into the world in the Islamic Republic of Iran.	yes
זוהי לידה נדירה, שמשפרת רק במעט את מצבה הטרגי של החיה הנמצאת בסכנת הכחדה במדינה בעקבות בצורות, ציידים ותאונות דרכים קטלניות.	This is a rare birth, offering only a slight improvement to the tragic situation of the endangered animal in the country due to droughts, hunting, and fatal road accidents.	yes
מדובר בלידה ראשונה של ברדלס בשבי באיראן.	This marks the first captive-born cheetah birth in Iran.	yes
יש לציין כי הרפובליקה האסלאמית היא אחת מהמדינות האחרונות בעולם שבהן ברדלסים עוד חיים בטבע.	It's worth noting that the Islamic Republic is one of the last countries in the world where cheetahs still exist in the wild.	yes
בסוכנות הידיעות האיראנית "אירנא" דווח כי הצוות הווטרינרי, האמון על הפארק הלאומי תוראן שבמחוז סמנאן הצפוני, החליט על לידה קיסרית בשבי.	Iran's news agency 'IRNA' reported that the veterinary team, trusted by the Toran National Park in the northern Semnan province, has opted for a captive cesarean birth.	yes
עוד צוין כי תועדו בתקופה האחרונה פחות מ-20 ברדלסים בשבעה מחוזות שונים במדינה.	Furthermore, it was noted that fewer than 20 cheetahs have been documented in seven different provinces across the country in recent times.	yes
בעקבות הסכנה להכחדתם, האו"ם הוציא לפועל תוכנית הגנה עבורם עוד בשנת 2001.	In response to the threat of their extinction, the United Nations implemented a protection program for them as early as 2001.	yes
כעת, באיראן מקווים שהגורים החדשים יוכלו להביא בעתיד לגידול באוכלוסיית הברדלסים.	Now, in Iran, there is hope that these new cubs could potentially contribute to the growth of the cheetah population in the future.	no
בחודש ינואר האחרון אמר סגן השר לענייני סביבה באיראן, חסן אכברי, כי אוכלוסיית הברדלסים במדינה הצטמצמה באופן דרמטי מ-100 ברדלסים בשנת 2010 ל-12 ברדלסים בלבד.	Last January, Iran's Deputy Minister of Environment, Hassan Akhbari, revealed that the cheetah population in the country has dramatically declined. In 2010, there were around 100 falcons, whereas now there are only 12 left.	no
"המצב שלהם חמור באופן קיצוני", אמר אכברי וציין כי הברדלסים נפלו קורבן לבצורת באזורי המחיה שלהם, לציד ואף לתאונות דרכים.	“Their situation is extremely dire," stated Akhbari, emphasizing that the cheetahs have fallen victim to drought in their native habitats, as well as to road accidents.	no
הברדלס נחשב לחיה המהירה בעולם שמסוגלת להגיע למהירות של כ-100 קמ"ש.	The cheetah is considered the fastest creature in the world, capable of reaching speeds of approximately 100 kilometers per hour.	no
את הברדלסים ניתן למצוא במקומות שונים על פני הגלובוס, מהודו ועד סנגל שבמערב אפריקה.	Cheetahs can be found in various locations across the globe, spanning from India to Senegal in West Africa.	no
ספוטיפיי רוצה לשדרג לכם את הרכב: בדקנו את ה-Car Thing	Spotify wants to upgrade your vehicle: We've reviewed the Car Thing	yes
בשקט בשקט, ספוטיפיי החלה לנסות את מזלה גם בעולם החומרה •	Quietly, Spotify has begun to try its luck in the hardware world as well	yes
אחרי שנים של פיתוח - Car Thing נחשף והושק כניסוי קטן בארה"ב •	After years of development, Car Thing has been unveiled and launched as a small-scale trial in the United States	yes
שמנו יד על המכשיר הראשון בישראל •	We've got our hands on the first device in Israel	yes
החזון: להפוך את הרכבים הישנים שלכם לחכמים	The Vision: Transforming Your Old Cars into Smart Vehicles	yes
ה-Car Thing הוא מוצר החומרה הראשון של ספוטיפיי, ונבנה במיוחד על מנת לספק פתרון לאנשים בעלי רכבים ישנים.	Car Thing is Spotify's first hardware product, uniquely designed to offer a solution for owners of older vehicles.	yes
לפני כמה שבועות, קיבלתי הזדמנות ראשונית לנסות את המוצר החדש, שזמין כרגע רק לנסיינים בודדים בארה"ב, כאן בישראל.	A few weeks ago, I had the initial opportunity to try out the new product, which is currently available only to select testers in the US, here in Israel.	yes
עבורי, הטיימינג של המשלוח היה יוצא מן הכלל, שכן הרכב הביתי שלנו התקלקל ונאלצנו לנהוג במשך כמה ימים עם רכב חליפי בעל מערכת ישנה.	For me, the timing of the delivery was quite uncanny, as our family car broke down, and we had to drive a loaned vehicle with an outdated system for a few days.	yes
אחרי שבועיים של השתעשעות, הבנתי כיצד ה-Car Thing יכול להפוך בקלות לחלק בלתי נפרד מהמערכת של אנשים רבים.	After two weeks of enjoyment, I realized how the Car Thing can seamlessly become an integral part of many people's systems.	yes
ומנגד, עם רשימת המתנה ארוכה וחוסר וודאות בנוגע להשקה עולמית, אני מאמין שרבים יעדיפו כבר להשתמש בפתרונות אחרים.	On the other hand, with a long waiting list and uncertainty regarding global launch, I believe many will opt for alternative solutions.	yes
מרעיון למציאות	From Concept to Reality	no
אי שם בשנת 2018, משתמשי ספוטיפיי החלו לקבל הצעה מעניינת בתיבת האימייל שלהם - אפשרות לרכוש מכשיר חדש עם שליטה קולית וחיבוריות דור רביעי, שיהפוך כל מערכת ישנה לרכב לחכמה.	Somewhere in 2018, Spotify users began receiving an intriguing offer in their email inbox - a chance to purchase a new device with voice control and fourth-generation connectivity, transforming any older system into a smart car.	no
השמועות אט אט דעכו עד שנה לאחר מכן, כשאתר Financial Times חשף כי החברה מתכננת להציג בקרוב מוצר חדש לרכב המדמה רדיו חכם עם חיבוריות בלוטות'.	The rumors gradually faded until a year later when the Financial Times revealed that the company was soon to unveil a new product for cars, simulating a smart radio with Bluetooth connectivity.	no
כמה חודשים לאחר מכן, השמועות הללו חזרו שוב לכותרות אחרי ששירות המוזיקה התעדכן עם מצב הרכב - אותו אחד שאנו מכירים כיום מהאפליקציה - המופעל ברגע שהסמארטפון מזהה חיבור למערכת באוטו.	A few months later, these rumors resurfaced after the music service updated with a car mode - the same one we recognize today from the app -activated once the smartphone detects a connection to the vehicle system.	no
שנתיים עברו מאז.	Two years have passed since then.	no
אחרי אינספור שמועות והדלפות, ספוטיפיי חשפה בחודש אפריל האחרון את "Car Thing", המערכת החכמה שלה לכלי רכב.	After countless rumors and leaks, Spotify finally unveiled 'Car Thing' in April, its smart in-car system.	no
ספוטיפיי בחרה לשחרר את המכשיר החדש באופן מוגבל מאוד, עם רשימת המתנה ארוכה ועיכובים רבים בכל הנוגע למשלוחים.	Spotify opted to release the new device in an extremely limited manner, with a long waiting list and significant delays in terms of shipments.	no
אז כמובן, מיד אחרי מסיבת העיתונאים שקיימה, נכנסתי לאתר ונרשמתי.	So, naturally, right after the press conference, I went to the website and signed up.	no
חודשיים לאחר מכן, ההודעה המיוחלת הגיעה.	Two months later, the anticipated message arrived.	no
התחברות מחודשת לאתר תקנה לי את האפשרות לרכוש את המכשיר עם הפתעה קטנה - הוא לא יעלה לי דבר.	A renewed website login will grant me the opportunity to purchase the device with a small surprise - it won't cost me a thing.	no
אחרי חודש נוסף של המתנה, השליח סוף סוף דפק לי בדלת, מלווה בקופסה קטנה עם הלוגו של ספוטיפיי עליה.	After another month of waiting, the courier finally knocked on my door, accompanied by a small box adorned with the Spotify logo.	no
ה-Car Thing	The Car Thing.	no
בראש ובראשונה, המכשיר של ספוטיפיי הרשים אותי מאוד באיכות הבנייה שלו.	First and foremost, Spotify's device impressed me greatly with its build quality.	no
וא מעט יותר קטן מהאייפון 11 שלי וכולל בקדמתו מסך מגע גדול, בהיר וחד משציפיתי.	It's slightly smaller than my iPhone 11 and features a large, bright, and crisp touchscreen on its front.	no
כמו כן, תוכלו למצוא לצד המסך כפתור עגול וחוגה שתוכלו לסובב כדי לנווט בין מסכי הממשק.	Additionally, right next to the screen, you'll find a circular knob that you can rotate to navigate between interface screens.	no
ולמרות החוגה הענקית, אותה אתם יכולים לראות בתמונות, ה-Car Thing מצליח לשמור על פרופיל דקיק יחסית ולא לבלוט יותר מדי מהדשבורד.	And despite the sizable knob, which you can see in the pictures, the Car Thing manages to maintain a relatively sleek profile without protruding excessively from the dashboard.	no
