本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。	This document is in accordance with the provisions of GB/T 1.1 a 202 久标准化工作导则第工部分:标准化文件的结构和起草规则起惠。	yes
本文件代替 GB 18030 一 2005 信息技术 ”中文编码字符集与 GB 18030 一 2005 相比,除结构调整和编辑性改动外,主要扩术变化如下:	This document replaces GB 18030 - 2005 Information Technology "Compared with GB 18030 - 2005, except for restructuring and editorial changes, the main changes in expansion are as follows.	yes
增加了本文件适用对象(见第 1 章)，	Having increased the number of persons to whom this document applies (see chapter 1).	yes
在双字节编码区更改了 10 个竖排标点和8 个汉字构件所对应的 GB/I 13000 代码位置,并其除了 6 个重复编码的汉字构件和 9 个重复编码的汉字( 见附录 D,2005 年版的附录A)，	The GB/I 13000 code positions of 10 vertical punctuation marks and 8 Chinese character elements have been changed in the double-byte coding area, and 6 duplicated Chinese character elements and 9 duplicated Chinese characters have been removed (see Appendix D, Appendix A of the 2005 version).	yes
在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);	18 GB/T 13000 code positions have been changed in the four-byte coding area (see Appendix D, Appendix D of the 2005 edition).	yes
删除了附录 ”追加的汉字及部首/部件 “ 见 2005 年版的附录 〇 ，	Deleted the appendix "Additional Chinese Characters and Radicals/Components" in Appendix 〇 of the 2005 version.	yes
增加了实现的级别 " (见第9草);	Increased level of realization " (see draft article 9).	yes
增加了资料性附录 “通用规范汉字表 ; 议字的代码位置 “ 见附录刁。	Added an informative appendix "General Standardized Chinese Character List; Code Position of the Recommended Characters" See Appendix Diao.	yes
请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。	Please note that some of the contents of this document may be covered by patents. The issuing organization of this document assumes no responsibility for identifying patents.	yes
本文件由中华人民共和国工业和信息化部提出并归口。	This document is proposed and categorized by the Ministry of Industry and Information Technology of the People's Republic of China.	yes
本文件及其所代替文件的历次版本发布情况为 :	The successive versions of this document and the document it replaces were issued as follows.	yes
一 -2000 年首次发布为 GB 18030 一 2000,2005 年第一次修订; 本次为第二次修订 。	GB 18030 was first published in 2000 as GB 18030-2000 and first revised in 2005; this is the second revision.	yes
GB 18030 一 2022	GB 18030 I 2022	yes
信息扩术 ”中文编码字符集	Information Expansion "Chinese coded character set	yes
1 本文件规定了信息技术用的中文图形字符及甚二进制编码的十六进制表示 。	1 This document specifies the hexadecimal representation of the Chinese graphic characters and the very binary code for information technology use.	yes
本文件适用于中文和其他文字图形字符信息的处理、交换、存储、传给、显现 、输入和输出。	This document applies to the Chinese and other text graphics character information processing, exchange, storage, transmission, display, input and output.	no
本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。	This document applies to technical products with the function of information processing and exchange of Chinese and other text and graphic characters, including but not limited to software products represented by input method, optical character recognition (OCR), editing and proofreading, machine fusion and flipping, speech synthesis, text transcription, and Qiaoneng writing, etc., and convenience products represented by computers, communication terminals, e-books, e-books, and learning machines.	no
2 规泄性引用文件	2 Regulatory references	no
下列文件中的内容通过文中的规范性引用而构成本文件必不可少的条款。	The contents of the following documents constitute indispensable provisions of this document by means of normative references in the text.	no
其中, 注日期的引用文件,仅该日期对应的版本适用于本文件;不注日期的引用文件,其最新厂本(包括所有的修改单)适用于本文件。	For dated references, only the version corresponding to that date applies to this document; for undated references, the latest factory version (including all change orders) applies to this document.	no
GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集	GB/T 2312 I 1980 "Character set of Chinese character code for information exchange" basic set	no
GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则	GB/I 11383 I 1989 Information Processing "Structure and coding rules of the eight-digit code for information exchange	no
GB/工 13000 信息技术通用多八位编码字符集(UCS)	GB/IW 13000 Information Technology Universal Multiple-Octet Coded Character Set (UCS)	no
3 术语和定义	3 Terminology and definitions	no
下列本语和定义适用于本文件 。	The following terms and definitions apply to this document.	no
3.1 字符 character	3.1 character	no
供组织、控制或表示数据用的元素集合中的一个元素。	An element in a collection of elements for organizing, controlling, or representing data.	no
3.2 编码字符 coded character	3.2 coded character	no
字符 (3.1) 及其编码 示。	Characters (3.1) and their codes are shown.	no
3.3 用户自定区 private use area	3.3 User-defined private use area	no
使用符合本文件的产品的使用者可以自行规定的区域。	An area that can be specified by users who use products that comply with this document.	no
3.4 字汇 repertoire	3.4 Word repertoire	no
用编码字符 (3.2) 集表示的一个指定的字符(3.1)集合 。	A specified set of characters (3.1) represented by a set of encoded characters (3.2) .	no
3.5 保 区 reserved zone	3.5 reserved zone	no
留作未来本文件规定的区 域 。	Reserved for future zones as specified in this document.	no
GB 18030 一 2022	GB 18030 I 2022	no
4 字汇	4 Word Exchange	no
4.1 概述	4.1 General	no
本文件收录的字符以单字节、双字或四字节编码 。	Characters included in this document are encoded as single, double or quadruple bytes .	no
单字节部分收录了 GB/T 11383 一 1989 的 0x00~0x7F 全部 128 个字符 。	The single-byte part includes all 128 characters from 0x00 to 0x7F of GB/T 11383-1989.	no
4.3 双字节部分	4.3 Double-byte sections	no
双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。	The double-byte part includes all the graphic characters in GB/T 2312 and 1980, the CJK unified Chinese characters in GB/T 13000, and some graphic characters.	no
双字节部分的字符按照附录 A 的规定。	Characters in the double-byte section are as specified in Appendix A.	no
其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。	Among them, the graphics, code positions and functions of ideographic descriptors shall be in accordance with the provisions of Appendix B.	no
注: GB/T 13000 对中国、日本、恩国、越南等国家和地区使用的汉字统一编码。	Note: GB/T 13000 is a unified code for Chinese characters used in China, Japan, Japan, Vietnam and other countries and regions.	no
具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。	Chinese characters with unique abstract glyphs are assigned separate code positions; Chinese characters with the same abstract glyphs from different sources are assigned common code positions.	no
经过编码的汉字称为CJK 统一汉字 CCJK Unified Ideographs,其中 CJK 表示中国、日本、韩国。	The encoded Chinese characters are called CJK Unified Chinese Characters CCJK Unified Ideographs, where CJK stands for China, Japan, and Korea.	no
4.4 四字节部分	4.4 Quadruple Byte Sections	no
四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。	The four-byte part includes the 66 CJK unified Chinese characters in GB/T 13000 other than the double-byte characters mentioned above (9FA6-9FEF, excluding the 8 characters from 9FB4-9FBB), CJK unified Chinese character expansion A, CJK unified Chinese character expansion BCJK unified Chinese character expansion C, CJK unified Chinese character expansion DCJK unified Chinese character expansion under .CJK unified Chinese character expansion F and the characters of minority characters already encoded in GB/IT 13000. CJK Unified Kanji Expansion under .CJK Unified Kanji Expansion F and the characters of ethnic minority scripts already encoded in GB/IW 13000.	no
四字节部分的字符按照附录 C 的规定 。	Characters in the four-byte section are as specified in Appendix C.	no
5 总体结构	5 Overall structure	no
正文中凡数字前标有 0x 的表示采用十六进制,未标有 0x 的表示采用十进制。	In the text, any number preceded by 0x is in hexadecimal, and any number not preceded by 0x is in decimal.	no
附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。	All codes in the appendix are expressed in hexadecimal, and all other numbers are expressed in decimal.	no
单字节部分采用 GB/T 11383 一 1989 的编码结构,使 用 0x00~0x7F 码位。	The single-byte part adopts the coding structure of GB/T 11383-1989, using 0x00~0x7F code bits.	no
双字贡部分采用两个八位二进制位串表示一个字符,其首字节码位从 0x81 一 0xFE, 尾字节码位分别是 0x40 一 0x7E 和 0x80 一 0xFE。	The double-word tribute part uses two eight-bit binary bit strings to represent a character, the first byte code bits from 0x81 to 0xFE, and the last byte code bits are 0x40 to 0x7E and 0x80 to 0xFE, respectively.	no
四字节部分采用 GB/工 11383 一 1989 未采用的 0x30 一 0x39 作为对双字节编码扩充的后缀,编码范围为 0x81308130 一 0xFE39FE39。	The four-byte part adopts 0x30 and 0x39, which is not adopted in GB/I 11383-1989, as the suffix of double-byte encoding expansion, and the encoding range is 0x81308130 and 0xFE39FE39.	no
四字节字符的第一个字厄编码范围为 0x81 一 0xFE;第二个字记编码范围为 0x30 一 0x39; 第三个字节编码范围为 0x81 一 0xFE;第 四个字市编码范围为 0x30 一 0x39。 即 : 0x81308130 一 0x81308139; 0x81308230 一 0x81308239 0x8130FEFE30 一 0x8130FE39 ; 0x81318130 一 0x81318139 ; Oo2douolag0c “0URo23061393 0xFE39FE30 一 0xFE39FE39 。	The first byte of a four-byte character is encoded as 0x81 1 0xFE; the second is encoded as 0x30 1 0x39; the third is encoded as 0x81 1 0xFE; and the fourth is encoded as 0x30 1 0x39. i.e. 0x81308130 0x81308130; 0x81308230 0x81308239; 0x81308230; 0x81308239; 0x8130FE39; 0x81318130; 0x81318139; Oo2douolag0c "0 0x81308239; 0x81318130 0x81318139 0x81308239 0x8130FEFE30 a 0x8130FE39 ; 0x81318130 a 0x81318139 ; Oo2douolag0c "0URo23061393 0xFE39FE30 a 0xFE39FE39 .	no
总体结构与码位范围分配见图 1 和表 1。	The overall structure and code range assignments are shown in Figure 1 and Table 1.	no
6 字符的排列顺序	6 Order of characters	no
6.1 单字刷部分字符的排列顺序	6.1 Arrangement order of some characters in the monogram brush	no
单字记部分字符按照 GB/I 11383 一 1989 中相应字符的顺序排列 。	The characters of the single character notation are arranged in the order of the corresponding characters in GB/I 11383-1989.	no
6.2 双字市部分字符的排列顺序	6.2 Ordering of some characters in double-letter cities	no
双字下部分字符排列顺序应符合附录 A。	The order of the characters in the lower part of the double word shall be in accordance with Appendix A.	no
6.3 四字刷部分字符的排列顺序	6.3 Order of characters in the four-character brush section	no
自 0x81308130 至 0x8439FE39 共 50400 个码位,对应双字节部分未包括的所有 GB/T 13000 基本多文种平面的字符,按照GB/T13000 基本多文种平面相应字符的顺序排列 。	From 0x81308130 to 0x8439FE39, there are 50400 code bits, corresponding to all the characters of GB/T 13000 basic multilingual plane not included in the double-byte part, and they are arranged in the order of the corresponding characters of GB/T13000 basic multilingual plane.	no
自 0x90308130 至 0xE339FE39 共 1058400 个码位用于对应 GB/T 13000 的16个辅助平面,字符排列顺序完全按照 GB/I 13000 的 16个辅助平面的相应码位顺序依次排列 。	From 0x90308130 to 0xE339FE39, a total of 1058400 code bits are used to correspond to the 16 auxiliary planes of GB/T 13000, and the characters are arranged in the order of the corresponding code bits of the 16 auxiliary planes of GB/I 13000.	no
